,Phase,Block,TrialType,ifProgress,Trial,PFilled,TimeOut,RT,Choice,CorrectAnswer,CorrectLoc,Feedback,CorrectCount,CorrectRequire,PFilledNew,START,KeyPressTime,FeedbackTime,END,ifLookedFix,ifLookProg,progLookDur,progStartLoc,progEndLoc,progPosition,ITI1,progLookStart,progLookEnd,ITI2,PID,SONA,Age,Gender,TIME,EXPERIMENTER,Unnamed: 35,phasic_pupil_base,phasic_pupil_terp_mean,phasic_pupil_terp_max,tonic_pupil_base,tonic_pupil_terp_mean,tonic_pupil_terp_max
0,PraticeBall,None,Ball,None,1,0.0,0.75,0.5983910085342359,3.0,3.0,up,CORRECT,1.0,5.0,0.2,252.78430668849614,253.3826976970304,253.41207891781232,230324_111248,,,,,,,,,,,56,148576,19,M,230324_110530,CN,,0.16690671655602696,0.1644624484075375,0.21251313412401615,-0.07093461355784399,-0.08758202000778285,-0.07093461355784399
1,PraticeBall,None,Fixation,None,2,,,,,,,,,,,254.46389903970703,,,230324_111250,0.0,0.0,0.0,,,"[-0.2, 0.42]",254.46389903970703,,,255.47998029492737,56,148576,19,M,230324_110530,CN,,,-0.0736800708452196,0.20493280526949212,,-0.17366951293698765,-0.14293207426245277
2,PraticeBall,None,Ball,None,3,0.2,0.75,0.5901539395126747,1.0,1.0,up,CORRECT,2.0,5.0,0.4,255.81733803125096,256.4074919707637,256.42917204675905,230324_111251,,,,,,,,,,,56,148576,19,M,230324_110530,CN,,0.06774837767769697,-0.009053971096827852,0.04385877117478086,-0.25248780897235207,-0.2822851338205538,-0.2627673979090837
3,PraticeBall,None,Fixation,None,4,,,,,,,,,,,257.02306141993904,,,230324_111253,0.0,0.0,0.0,,,"[-0.15, 0.42]",257.02306141993904,,,258.03922285532457,56,148576,19,M,230324_110530,CN,,,0.0483152298350367,0.20111147544097194,,-0.3839338761659296,-0.34701779774127944
4,PraticeBall,None,Ball,None,5,0.4,0.6,0.5470282343158033,2.0,2.0,down,CORRECT,3.0,5.0,0.6,258.39629817786044,258.94332641217625,258.9716203898861,230324_111254,,,,,,,,,,,56,148576,19,M,230324_110530,CN,,0.17286206701635343,0.17583409836270147,0.20342486739579937,-0.44122348557868407,-0.4741426713108119,-0.453154102358089
5,PraticeBall,None,Fixation,None,6,,,,,,,,,,,259.5654016802,,,230324_111255,0.0,0.0,0.0,,,"[-0.1, 0.42]",259.5654016802,,,260.5815066687501,56,148576,19,M,230324_110530,CN,,,-0.07539836355444027,0.10418487257542344,,-0.591345061036789,-0.5488900889196768
6,PraticeBall,None,Ball,None,7,0.6,0.6,,,1.0,down,SLOW,3.0,5.0,0.6,260.9384848129121,,261.58177575339505,230324_111257,,,,,,,,,,,56,148576,19,M,230324_110530,CN,,0.17544520866009164,0.19463216828283014,0.2238761043841543,-0.657076361447173,-0.6975234314889123,-0.6707332726475393
7,PraticeBall,None,Fixation,None,8,,,,,,,,,,,262.1924080285389,,,230324_111258,0.0,0.0,0.0,,,"[-0.1, 0.42]",262.1924080285389,,,263.20878017741785,56,148576,19,M,230324_110530,CN,,,0.15647657184610023,0.2632923346339446,,-0.8361524627837404,-0.787733633772629
8,PraticeBall,None,Ball,None,9,0.6,0.75,0.6426001081417779,1.0,1.0,down,CORRECT,4.0,5.0,0.8,263.563769853412,264.20636996155366,264.2258832486986,230324_111259,,,,,,,,,,,56,148576,19,M,230324_110530,CN,,0.2836925088338901,0.1914870598909434,0.2679522562832772,-0.9119768317806918,-0.95893118952257,-0.9264472480094605
9,PraticeBall,None,Fixation,None,10,,,,,,,,,,,264.83661975806166,,,230324_111301,0.0,0.0,0.0,,,"[-0.04999999999999999, 0.42]",264.83661975806166,,,265.85309261322254,56,148576,19,M,230324_110530,CN,,,0.23110263996896152,0.24705937297785893,,-1.11556778430606,-1.060999576344524
