,Phase,Block,TrialType,ifProgress,Trial,PFilled,TimeOut,RT,Choice,CorrectAnswer,CorrectLoc,Feedback,CorrectCount,CorrectRequire,PFilledNew,START,KeyPressTime,FeedbackTime,END,ifLookedFix,ifLookProg,progLookDur,progStartLoc,progEndLoc,progPosition,ITI1,progLookStart,progLookEnd,ITI2,PID,SONA,Age,Gender,TIME,EXPERIMENTER,Unnamed: 35,phasic_pupil_base,phasic_pupil_terp_mean,phasic_pupil_terp_max,tonic_pupil_base,tonic_pupil_terp_mean,tonic_pupil_terp_max
0,PraticeBall,None,Ball,None,1,0.0,0.75,,,2.0,down,SLOW,0.0,5.0,0.0,333.2525954320445,,334.0495507024171,230324_100359,,,,,,,,,,,45,154903,18,F,230324_095318,CN,,0.15592710357334283,0.14088429846518707,0.16738518590924656,0.1676364608643334,0.16695701478596803,0.1676364608643334
1,PraticeBall,None,Fixation,None,2,,,,,,,,,,,334.677190474089,,,230324_100401,0.0,0.0,0.0,,,"[-0.25, 0.42]",334.677190474089,,,335.6936681400548,45,154903,18,F,230324_095318,CN,,,0.13898262734566658,0.1485516797314625,,0.16415486399237977,0.16505972365366972
2,PraticeBall,None,Ball,None,3,0.0,0.75,,,3.0,down,SLOW,0.0,5.0,0.0,336.0508643742796,,336.8461554250825,230324_100402,,,,,,,,,,,45,154903,18,F,230324_095318,CN,,0.1495263964613309,0.13882851783101757,0.16289140330032276,0.16275114462413007,0.16181019222521914,0.1624742129484063
3,PraticeBall,None,Fixation,None,4,,,,,,,,,,,337.45780887485313,,,230324_100403,0.0,0.0,0.0,,,"[-0.25, 0.42]",337.45780887485313,,,338.47344496978616,45,154903,18,F,230324_095318,CN,,,0.1215320158124235,0.13957712181999085,,0.1590380824444867,0.15993403028439565
4,PraticeBall,None,Ball,None,5,0.0,0.6,,,2.0,down,SLOW,0.0,5.0,0.0,338.8126606409642,,339.45632329670485,230324_100405,,,,,,,,,,,45,154903,18,F,230324_095318,CN,,0.1544873153613843,0.14569359923761369,0.16901922783287415,0.1576548508588149,0.15686013023461867,0.1573832795202333
5,PraticeBall,None,Fixation,None,6,,,,,,,,,,,340.067031903367,,,230324_100406,0.0,0.0,0.0,,,"[-0.25, 0.42]",340.067031903367,,,341.083223807218,45,154903,18,F,230324_095318,CN,,,0.12194696423539565,0.12900801303548193,,0.15432996623475162,0.155195369274763
6,PraticeBall,None,Ball,None,7,0.0,0.75,,,1.0,down,SLOW,0.0,5.0,0.0,341.44101080892136,,342.2359910813975,230324_100407,,,,,,,,,,,45,154903,18,F,230324_095318,CN,,0.13717873906909706,0.11612481205822843,0.1475877744861241,0.1530176896112429,0.15213916405854644,0.15277515238942224
7,PraticeBall,None,Fixation,None,8,,,,,,,,,,,342.84718974925636,,,230324_100409,0.0,0.0,0.0,,,"[-0.25, 0.42]",342.84718974925636,,,343.8630404063152,45,154903,18,F,230324_095318,CN,,,0.08954438369628173,0.10761670499224384,,0.14958662541394274,0.15039587325344203
8,PraticeBall,None,Ball,None,9,0.0,0.75,,,3.0,up,SLOW,0.0,5.0,0.0,344.21899673441663,,345.01599722640816,230324_100410,,,,,,,,,,,45,154903,18,F,230324_095318,CN,,0.1183716533307694,0.12203725285715669,0.13402581082720313,0.14836670615026154,0.14755735628108213,0.1481425723731489
9,PraticeBall,None,Fixation,None,10,,,,,,,,,,,345.62639665835013,,,230324_100412,0.0,0.0,0.0,,,"[-0.25, 0.42]",345.62639665835013,,,346.64283968649397,45,154903,18,F,230324_095318,CN,,,0.05640898709188103,0.09076085008961454,,0.14523560565114704,0.14596580775893542
10,PraticeBall,None,Ball,None,11,0.0,0.75,,,3.0,down,SLOW,0.0,5.0,0.0,346.9808398263267,,347.778332945265,230324_100413,,,,,,,,,,,45,154903,18,F,230324_095318,CN,,0.009212524383649705,0.06488103606386998,0.1177519956026999,0.1441423903875015,0.1434248259485512,0.14394294368175473
11,PraticeBall,None,Fixation,None,12,,,,,,,,,,,348.3891191663279,,,230324_100414,0.0,0.0,0.0,,,"[-0.25, 0.42]",348.3891191663279,,,349.40563179085433,45,154903,18,F,230324_095318,CN,,,-0.031485834898962624,0.060961654589798894,,0.1414217076337957,0.1420549460556929
12,PraticeBall,None,Ball,None,13,0.0,0.75,,,2.0,up,SLOW,0.0,5.0,0.0,349.7626452143013,,350.55803568851843,230324_100416,,,,,,,,,,,45,154903,18,F,230324_095318,CN,,0.10500384387528834,0.10984621889695557,0.1372927697684305,0.1404794525575444,0.13986580876543253,0.14030849304149978
13,PraticeBall,None,Fixation,None,14,,,,,,,,,,,351.16857078530296,,,230324_100417,0.0,0.0,0.0,,,"[-0.25, 0.42]",351.16857078530296,,,352.1849490278692,45,154903,18,F,230324_095318,CN,,,0.08915761122884742,0.10924124050900932,,0.1381434642743894,0.1386785295843568
14,PraticeBall,None,Ball,None,15,0.0,0.75,,,3.0,up,SLOW,0.0,5.0,0.0,352.5428540547728,,353.33768294709444,230324_100419,,,,,,,,,,,45,154903,18,F,230324_095318,CN,,0.11440663917935644,0.08581344233315366,0.12472928383982784,0.1373490660987321,0.13683329385710472,0.13720523317644875
15,PraticeBall,None,Fixation,None,16,,,,,,,,,,,353.9482061772142,,,230324_100420,0.0,0.0,0.0,,,"[-0.25, 0.42]",353.9482061772142,,,354.96472425399406,45,154903,18,F,230324_095318,CN,,,0.07749815810703942,0.1323658057999911,,0.1353904231360286,0.13583794681867975
16,PraticeBall,None,Ball,None,17,0.0,0.75,,,2.0,up,SLOW,0.0,5.0,0.0,355.30265383527154,,356.10040128570114,230324_100421,,,,,,,,,,,45,154903,18,F,230324_095318,CN,,0.1403550608694348,0.07241032394974428,0.131651328997321,0.13472627230695278,0.13429482846739876,0.13460601032174008
17,PraticeBall,None,Fixation,None,18,,,,,,,,,,,356.7111345878657,,,230324_100423,0.0,0.0,0.0,,,"[-0.25, 0.42]",356.7111345878657,,,357.7275497133087,45,154903,18,F,230324_095318,CN,,,0.00427253702189057,0.11083777817348113,,0.13309842562150542,0.13347597108353754
