,Phase,Block,TrialType,ifProgress,Trial,PFilled,TimeOut,RT,Choice,CorrectAnswer,CorrectLoc,Feedback,CorrectCount,CorrectRequire,PFilledNew,START,KeyPressTime,FeedbackTime,END,ifLookedFix,ifLookProg,progLookDur,progStartLoc,progEndLoc,progPosition,ITI1,progLookStart,progLookEnd,ITI2,PID,SONA,Age,Gender,TIME,EXPERIMENTER,Unnamed: 35,phasic_pupil_base,phasic_pupil_terp_mean,phasic_pupil_terp_max,tonic_pupil_base,tonic_pupil_terp_mean,tonic_pupil_terp_max
0,PraticeBall,None,Ball,None,1,0.0,0.75,,,3.0,up,SLOW,0.0,5.0,0.0,183.15986442665417,,183.95245439649625,230308_132008,,,,,,,,,,,32,154054,21,F,230308_114322,CN,,-1.6563008263203354,-0.19377282359535747,0.5283930523343109,-0.8166151878764386,-0.7940651547340267,-0.7716907832659714
1,PraticeBall,None,Fixation,None,2,,,,,,,,,,,184.56326088023343,,,230308_132009,0.0,0.0,0.0,,,"[-0.25, 0.42]",184.56326088023343,,,185.57950100977726,32,154054,21,F,230308_114322,CN,,,0.3289528856544834,0.4262262416904247,,-0.7043528700174028,-0.6765089054856258
2,PraticeBall,None,Ball,None,3,0.0,0.75,0.7449321155072539,1.0,1.0,up,CORRECT,1.0,5.0,0.2,185.93617000805352,186.68110212356083,186.7151840416518,230308_132011,,,,,,,,,,,32,154054,21,F,230308_114322,CN,,0.4679308311072068,0.4190773006365095,0.5355639603813755,-0.6620657679444109,-0.6348843242397135,-0.6156676159797783
3,PraticeBall,None,Fixation,None,4,,,,,,,,,,,187.34289036910374,,,230308_132012,0.0,0.0,0.0,,,"[-0.2, 0.42]",187.34289036910374,,,188.3592825183441,32,154054,21,F,230308_114322,CN,,,0.45643729036779634,0.49525477803953627,,-0.557472014317265,-0.5338611057231879
4,PraticeBall,None,Ball,None,5,0.2,0.75,0.6865443645765481,3.0,3.0,up,CORRECT,2.0,5.0,0.4,188.71431008875152,189.4008544533281,189.42706598456607,230308_132013,,,,,,,,,,,32,154054,21,F,230308_114322,CN,,0.5403897446602891,0.5654926052340754,0.6655302784031719,-0.5208612883502233,-0.4997594943550742,-0.4853395630427205
5,PraticeBall,None,Fixation,None,6,,,,,,,,,,,190.0377175621561,,,230308_132015,0.0,0.0,0.0,,,"[-0.15, 0.42]",190.0377175621561,,,191.05404107803227,32,154054,21,F,230308_114322,CN,,,0.34670945433540146,0.46132089812511434,,-0.4390340953449413,-0.4207725491812329
6,PraticeBall,None,Ball,None,7,0.4,0.6,,,1.0,down,SLOW,2.0,5.0,0.4,191.4127238562196,,192.0541735340121,230308_132016,,,,,,,,,,,32,154054,21,F,230308_114322,CN,,0.538200449042169,0.5596424586304048,0.5923217714265353,-0.4119728812651928,-0.39722068753406725,-0.387882260490831
7,PraticeBall,None,Fixation,None,8,,,,,,,,,,,192.66484146815128,,,230308_132017,0.0,0.0,0.0,,,"[-0.15, 0.42]",192.66484146815128,,,193.6812923085417,32,154054,21,F,230308_114322,CN,,,0.4689138313594714,0.5117936237883705,,-0.3553292978224637,-0.34315926317281426
8,PraticeBall,None,Ball,None,9,0.4,0.75,,,2.0,up,SLOW,2.0,5.0,0.4,194.03626535711737,,194.83400250864543,230308_132019,,,,,,,,,,,32,154054,21,F,230308_114322,CN,,0.509692692497498,0.46318189056350406,0.581884388380244,-0.33732665779234305,-0.3269939587114288,-0.3201500511325862
9,PraticeBall,None,Fixation,None,10,,,,,,,,,,,195.4445694170372,,,230308_132020,0.0,0.0,0.0,,,"[-0.15, 0.42]",195.4445694170372,,,196.46103982114255,32,154054,21,F,230308_114322,CN,,,0.3096464755085408,0.35553192436247283,,-0.3042560626438792,-0.2993861916118546
10,PraticeBall,None,Ball,None,11,0.4,0.75,0.7016809080887472,1.0,1.0,up,CORRECT,3.0,5.0,0.6,196.81890284754812,197.52058375563684,197.54559067509945,230308_132021,,,,,,,,,,,32,154054,21,F,230308_114322,CN,,0.4143472159334839,0.2758800561442512,0.45676661221696657,-0.29749621387645475,-0.2951025654052059,-0.2940266419203482
11,PraticeBall,None,Fixation,None,12,,,,,,,,,,,198.25803355145214,,,230308_132023,0.0,0.0,0.0,,,"[-0.1, 0.42]",198.25803355145214,,,199.27583236396825,32,154054,21,F,230308_114322,CN,,,0.2145058206351409,0.3352204944472628,,-0.2960239767599473,-0.29407623760133433
12,PraticeBall,None,Ball,None,13,0.6,0.75,,,2.0,down,SLOW,3.0,5.0,0.6,199.63460686712097,,200.42705604235016,230308_132024,,,,,,,,,,,32,154054,21,F,230308_114322,CN,,0.3787858071333505,0.3540962890681209,0.4551454904261226,-0.3022970387061943,-0.3084489066511719,-0.30388536868824834
13,PraticeBall,None,Fixation,None,14,,,,,,,,,,,201.0385828557064,,,230308_132026,0.0,0.0,0.0,,,"[-0.1, 0.42]",201.0385828557064,,,202.0541055420799,32,154054,21,F,230308_114322,CN,,,0.43259523199189764,0.5115679361192019,,-0.33606005915571935,-0.3252725451264361
14,PraticeBall,None,Ball,None,15,0.6,0.75,,,2.0,down,SLOW,3.0,5.0,0.6,202.4101209198034,,203.20670381207125,230308_132027,,,,,,,,,,,32,154054,21,F,230308_114322,CN,,0.45115950453994974,0.4379224799507712,0.5387975682765701,-0.35520335691518273,-0.3704811690276424,-0.35946321281776356
15,PraticeBall,None,Fixation,None,16,,,,,,,,,,,203.81835506349125,,,230308_132029,0.0,0.0,0.0,,,"[-0.1, 0.42]",203.81835506349125,,,204.83383445311486,32,154054,21,F,230308_114322,CN,,,0.3139591262222734,0.43497384415190044,,-0.42643187076493155,-0.40656385036306003
16,PraticeBall,None,Ball,None,17,0.6,0.75,,,1.0,down,SLOW,3.0,5.0,0.6,205.1947962438953,,205.98636441045707,230308_132030,,,,,,,,,,,32,154054,21,F,230308_114322,CN,,0.40680128025209505,0.2591872295739762,0.39972062612397313,-0.4588275308507243,-0.4836496333935164,-0.4658861560472352
17,PraticeBall,None,Fixation,None,18,,,,,,,,,,,206.59712471099374,,,230308_132031,0.0,0.0,0.0,,,"[-0.1, 0.42]",206.59712471099374,,,207.61362301745064,32,154054,21,F,230308_114322,CN,,,0.23025930239369122,0.3401137160159503,,-0.5673405340021224,-0.53821264026299
18,PraticeBall,None,Ball,None,19,0.6,0.75,,,2.0,up,SLOW,3.0,5.0,0.6,207.9705315910724,,208.7664980659192,230308_132033,,,,,,,,,,,32,154054,21,F,230308_114322,CN,,0.3986884265457748,0.3939357150353059,0.4291672913748394,-0.6150929598057705,-0.6497155809960005,-0.625029499529126
19,PraticeBall,None,Fixation,None,20,,,,,,,,,,,209.39373871277888,,,230308_132034,0.0,0.0,0.0,,,"[-0.1, 0.42]",209.39373871277888,,,210.4098665914917,32,154054,21,F,230308_114322,CN,,,0.36571616896401915,0.5329154409811944,,-0.7625772006906643,-0.7239603716559524
20,PraticeBall,None,Ball,None,21,0.6,0.75,,,3.0,up,SLOW,3.0,5.0,0.6,210.7654929399032,,211.5626582536279,230308_132036,,,,,,,,,,,32,154054,21,F,230308_114322,CN,,0.4734119986046261,0.33128628926497833,0.4577055131144082,-0.8267681434241387,-0.8713512896448602,-0.8396347402973556
21,PraticeBall,None,Fixation,None,22,,,,,,,,,,,212.19042295151118,,,230308_132037,0.0,0.0,0.0,,,"[-0.1, 0.42]",212.19042295151118,,,213.2081598657096,32,154054,21,F,230308_114322,CN,,,0.28473278792101436,0.40335252760548423,,-1.0136249515836293,-0.9654878981772907
22,PraticeBall,None,Ball,None,23,0.6,0.6,,,2.0,up,SLOW,3.0,5.0,0.6,213.5654549029077,,214.2067471088194,230308_132038,,,,,,,,,,,32,154054,21,F,230308_114322,CN,,0.3314975128745191,0.2616367502232586,0.32969207403122364,-1.0918766368561004,-1.1375622834649177,-1.1065676781325664
