,Phase,Block,TrialType,ifProgress,Trial,PFilled,TimeOut,RT,Choice,CorrectAnswer,CorrectLoc,Feedback,CorrectCount,CorrectRequire,PFilledNew,START,KeyPressTime,FeedbackTime,END,ifLookedFix,ifLookProg,progLookDur,progStartLoc,progEndLoc,progPosition,ITI1,progLookStart,progLookEnd,ITI2,PID,SONA,Age,Gender,TIME,EXPERIMENTER,Unnamed: 35,phasic_pupil_base,phasic_pupil_terp_mean,phasic_pupil_terp_max,tonic_pupil_base,tonic_pupil_terp_mean,tonic_pupil_terp_max
0,PraticeBall,None,Ball,None,1,0.0,0.75,0.7119957613758743,2.0,2.0,up,CORRECT,1.0,5.0,0.2,428.07046961365273,428.78246537502855,428.8165920879692,230714_091350,,,,,,,,,,,98,999999,21,M,230714_090620,MS,,0.17903646066829107,0.14748208330594517,0.20570067528953798,0.42653986324667736,0.4229132720996044,0.42653986324667736
1,PraticeBall,None,Fixation,None,2,,,,,,,,,,,429.42738572042435,,,230714_091351,0.0,0.0,0.0,,,"[-0.2, 0.42]",429.42738572042435,,,430.44414695724856,98,999999,21,M,230714_090620,MS,,,0.16555365652648057,0.27606370398102376,,0.4053017731121067,0.4116384294166178
2,PraticeBall,None,Ball,None,3,0.2,0.75,0.7009545960463583,3.0,3.0,down,CORRECT,2.0,5.0,0.4,430.80079269548884,431.5017472915352,431.5286388443783,230714_091352,,,,,,,,,,,98,999999,21,M,230714_090620,MS,,0.19452952429967935,0.17495643798786165,0.24981513200418343,0.3949115243784635,0.38743758295616126,0.39284186191284587
3,PraticeBall,None,Fixation,None,4,,,,,,,,,,,432.1392628145404,,,230714_091354,0.0,0.0,0.0,,,"[-0.15, 0.42]",432.1392628145404,,,433.15594002231967,98,999999,21,M,230714_090620,MS,,,0.388106301437381,0.4226809104461351,,0.3618961033660873,0.3709485145049462
4,PraticeBall,None,Ball,None,5,0.4,0.75,,,2.0,down,SLOW,2.0,5.0,0.4,433.5109770209529,,434.3083581998944,230714_091355,,,,,,,,,,,98,999999,21,M,230714_090620,MS,,0.375642019931533,0.2717220843398714,0.35307099102801826,0.3472295097614713,0.3364064232776376,0.34433948514097906
5,PraticeBall,None,Fixation,None,6,,,,,,,,,,,434.9188827467151,,,230714_091357,0.0,0.0,0.0,,,"[-0.15, 0.42]",434.9188827467151,,,435.935258155223,98,999999,21,M,230714_090620,MS,,,0.12418797392057263,0.25372667931135034,,0.3005221481143508,0.3128063545252401
6,PraticeBall,None,Ball,None,7,0.4,0.75,,,1.0,down,SLOW,2.0,5.0,0.4,436.2897592275403,,437.07105525117373,230714_091358,,,,,,,,,,,98,999999,21,M,230714_090620,MS,,0.21433877246525007,0.2572752671830939,0.35763950172261816,0.28078668234741205,0.26639204843574166,0.2769279343791885
7,PraticeBall,None,Fixation,None,8,,,,,,,,,,,437.6816670345143,,,230714_091359,0.0,0.0,0.0,,,"[-0.15, 0.42]",437.6816670345143,,,438.69804853666574,98,999999,21,M,230714_090620,MS,,,0.42156331280635334,0.4569056978865017,,0.22001453473353078,0.23596462667122636
8,PraticeBall,None,Ball,None,9,0.4,0.75,,,2.0,up,SLOW,2.0,5.0,0.4,439.05498420773074,,439.850717197638,230714_091401,,,,,,,,,,,98,999999,21,M,230714_090620,MS,,0.3405458553815617,0.27582834123304595,0.3803106520025461,0.19454547700272548,0.17612834289723459,0.18959399953078335
9,PraticeBall,None,Fixation,None,10,,,,,,,,,,,440.46135848714033,,,230714_091402,0.0,0.0,0.0,,,"[-0.15, 0.42]",440.46135848714033,,,441.47785128001124,98,999999,21,M,230714_090620,MS,,,0.2665632502174857,0.30217082516406113,,0.11661194581135889,0.13670567074900608
