,Phase,Block,TrialType,ifProgress,Trial,PFilled,TimeOut,RT,Choice,CorrectAnswer,CorrectLoc,Feedback,CorrectCount,CorrectRequire,PFilledNew,START,KeyPressTime,FeedbackTime,END,ifLookedFix,ifLookProg,progLookDur,progStartLoc,progEndLoc,progPosition,ITI1,progLookStart,progLookEnd,ITI2,PID,SONA,Age,Gender,TIME,EXPERIMENTER,Unnamed: 35,phasic_pupil_base,phasic_pupil_terp_mean,phasic_pupil_terp_max,tonic_pupil_base,tonic_pupil_terp_mean,tonic_pupil_terp_max
0,PraticeBall,None,Ball,None,1,0.0,0.75,0.6928124339319766,3.0,3.0,up,CORRECT,1.0,5.0,0.2,744.6762477997689,745.369060233701,745.4046933772042,230511_130954,,,,,,,,,,,63,151792,19,F,230511_125558,MS,,0.6170843763913761,0.4562330157794245,0.7227715828133874,1.6872214077550252,1.7171222960889256,1.747373673158716
1,PraticeBall,None,Fixation,None,2,,,,,,,,,,,746.0154363354668,,,230511_130956,0.0,0.0,0.0,,,"[-0.2, 0.42]",746.0154363354668,,,747.0318014807999,63,151792,19,F,230511_125558,MS,,,0.07722380393673399,0.16327523328128613,,1.8523520968601905,1.8994746887774705
2,PraticeBall,None,Ball,None,3,0.2,0.75,0.6454835329204798,1.0,1.0,up,CORRECT,2.0,5.0,0.4,747.3713966915384,748.0168802244589,748.0490476489067,230511_130957,,,,,,,,,,,63,151792,19,F,230511_125558,MS,,0.2277104884637194,-0.006530329579026994,0.263427231938919,1.9260498283703062,1.9721778033769184,2.003705115366488
3,PraticeBall,None,Fixation,None,4,,,,,,,,,,,748.6596020227298,,,230511_130958,0.0,0.0,0.0,,,"[-0.15, 0.42]",748.6596020227298,,,749.6760919289662,63,151792,19,F,230511_125558,MS,,,-0.05907787164229247,0.23926646331470058,,2.120835396263733,2.174115134597686
4,PraticeBall,None,Ball,None,5,0.4,0.75,0.6067169387824833,1.0,1.0,up,CORRECT,3.0,5.0,0.6,750.0339208096266,750.6406377484091,750.6758876293898,230511_131000,,,,,,,,,,,63,151792,19,F,230511_125558,MS,,0.34363327436841956,0.2454008084341353,0.449965827706184,2.20407542698337,2.253669396902062,2.286739753512225
5,PraticeBall,None,Fixation,None,6,,,,,,,,,,,751.303624026943,,,230511_131001,0.0,0.0,0.0,,,"[-0.1, 0.42]",751.303624026943,,,752.3198826927693,63,151792,19,F,230511_125558,MS,,,0.42581459717148334,0.840075765299714,,2.4221318691148714,2.4813614271938187
6,PraticeBall,None,Ball,None,7,0.6,0.75,,,2.0,down,SLOW,3.0,5.0,0.6,752.6760075790808,,753.4722620625979,230511_131003,,,,,,,,,,,63,151792,19,F,230511_125558,MS,,0.507663265939338,0.3160713022079398,0.6310794673539452,2.515799802675594,2.579467722697794,2.6261847953581734
7,PraticeBall,None,Fixation,None,8,,,,,,,,,,,754.0663069663568,,,230511_131004,0.0,0.0,0.0,,,"[-0.1, 0.42]",754.0663069663568,,,755.0826939209364,63,151792,19,F,230511_125558,MS,,,0.31829999624568056,0.5558841238899088,,2.775483173839797,2.840466082380845
8,PraticeBall,None,Ball,None,9,0.6,0.75,,,3.0,up,SLOW,3.0,5.0,0.6,755.4188734455964,,756.2012884672731,230511_131005,,,,,,,,,,,63,151792,19,F,230511_125558,MS,,0.6591610839136499,0.3160286676080032,0.7091434345891512,2.8727215846351553,2.9420322451064163,2.9927648754972647
9,PraticeBall,None,Fixation,None,10,,,,,,,,,,,756.8119878070429,,,230511_131007,0.0,0.0,0.0,,,"[-0.1, 0.42]",756.8119878070429,,,757.8284911839291,63,151792,19,F,230511_125558,MS,,,0.2641829652438855,0.5304524476215533,,3.1481756368802127,3.2178538496068354
10,PraticeBall,None,Ball,None,11,0.6,0.75,0.6286318525671959,1.0,1.0,down,CORRECT,4.0,5.0,0.8,758.1879708194174,758.8166026719846,758.8453733325005,230511_131008,,,,,,,,,,,63,151792,19,F,230511_125558,MS,,0.5456843642921206,0.3131759369089734,0.5517723124993449,3.2566353306435083,3.321758318350154,3.3654123426751386
11,PraticeBall,None,Fixation,None,12,,,,,,,,,,,759.4562179595233,,,230511_131009,0.0,0.0,0.0,,,"[-0.04999999999999999, 0.42]",759.4562179595233,,,760.4737716997042,63,151792,19,F,230511_125558,MS,,,-0.02111320341586538,0.290509305099593,,3.53208199894685,3.605094660073614
12,PraticeBall,None,Ball,None,13,0.8,0.75,0.5170495659112929,2.0,2.0,down,CORRECT,5.0,5.0,1.0,760.8118120515718,761.3288616174832,761.3536790627986,230511_131010,,,,,,,,,,,63,151792,19,F,230511_125558,MS,,0.28413438452977247,0.27437137340183637,0.40389863528578973,3.645570387343986,3.7057661919009184,3.7434871887553225
13,PraticeBall,None,Fixation,None,14,,,,,,,,,,,761.9645993798039,,,230511_131012,0.0,0.0,0.0,,,"[0.0, 0.42]",761.9645993798039,,,762.9810527237132,63,151792,19,F,230511_125558,MS,,,-0.028611141101798146,0.19133315776402246,,3.9119731715255734,3.986633010043247
14,PraticeBar,,Fixation,1,1,,,,,,,,,,,,,,230511_131053,0.0,0.0,0.0,,,"[-0.25, 0.42]",803.1164617468602,,,804.1338785388507,63,151792,19,F,230511_125558,MS,,,0.42890548681287094,0.5904411952692956,,4.132419221680887,4.211537372055967
15,PraticeBar,,Fixation,1,2,,,,,,,,,,,,,,230511_131059,1.0,1.0,0.4921400733292103,"[-0.03720700740814209, 0.41240234673023224]","[-0.0380859375, 0.38056640326976776]","[-0.2375, 0.42]",809.4386513908394,809.9471184434369,810.439258516766,810.4557352736592,63,151792,19,F,230511_125558,MS,,,0.2752850512796266,0.6461609302663639,,3.125536569334929,3.2008056398550804
16,PraticeBar,,Fixation,1,3,,,,,,,,,,,,,,230511_131103,0.0,0.0,0.0,,,"[-0.2375, 0.42]",812.726544338744,,,813.7441028901376,63,151792,19,F,230511_125558,MS,,,0.3042928242324592,0.41234539939179593,,2.638882848323002,2.708397078297339
17,PraticeBar,,Fixation,1,4,,,,,,,,,,,,,,230511_131106,1.0,1.0,0.5767150274477899,"[-0.033203125, 0.4610351547598839]","[-0.040722668170928955, 0.41777344048023224]","[-0.225, 0.42]",816.0148619227111,816.4386529941112,817.015368021559,817.0320952618495,63,151792,19,F,230511_125558,MS,,,0.28702202244798264,0.32511278419167045,,2.1991507044808256,2.26154819790613
18,PraticeBar,,Fixation,1,5,,,,,,,,,,,,,,230511_131109,1.0,1.0,0.0,,,"[-0.2125, 0.42]",819.302735627629,,,820.3203233643436,63,151792,19,F,230511_125558,MS,,,0.2794327690498849,0.36022261449663795,,1.8100288795640005,1.864580932805553
19,PraticeBar,,Fixation,1,6,,,,,,,,,,,,,,230511_131112,1.0,0.0,0.0,,,"[-0.2125, 0.42]",822.5906186336651,,,823.6088077235036,63,151792,19,F,230511_125558,MS,,,0.3674390872571703,0.4320027079207614,,1.472833022433162,1.5191969506673546
20,PraticeBar,,Fixation,1,7,,,,,,,,,,,,,,230511_131116,0.0,0.0,0.0,,,"[-0.2125, 0.42]",825.8789679687469,,,826.896469430998,63,151792,19,F,230511_125558,MS,,,0.3435881251271768,0.43459525524736026,,1.1921900313598965,1.230502180831005
21,PraticeBar,,Fixation,1,8,,,,,,,,,,,,,,230511_131119,1.0,1.0,0.205396912060678,"[-0.05712890625, 0.4384765625]","[-0.05517578125, 0.40068359673023224]","[-0.2, 0.42]",829.1673743925058,829.9640775658189,830.1694744778798,830.1850759852678,63,151792,19,F,230511_125558,MS,,,0.31804168112616593,0.4238812863225825,,0.9629442762505365,0.9935405736829561
22,PraticeBar,,Fixation,1,9,,,,,,,,,,,,,,230511_131122,0.0,0.0,0.0,,,"[-0.2, 0.42]",832.455201592762,,,833.4730064580217,63,151792,19,F,230511_125558,MS,,,0.42704067145232627,0.5133127634338912,,0.7845416547906564,0.8080440389380761
23,PraticeBar,,Fixation,1,10,,,,,,,,,,,,,,230511_131126,1.0,1.0,0.0,,,"[-0.1875, 0.42]",835.7435714541934,,,836.7610511076638,63,151792,19,F,230511_125558,MS,,,0.25397629319331494,0.42003516150568954,,0.6512088281547049,0.6682800569205916
24,PraticeBar,,Fixation,1,11,,,,,,,,,,,,,,230511_131129,1.0,1.0,0.4076096997596324,"[-0.06748044490814209, 0.47050781175494194]","[-0.058886706829071045, 0.40986327826976776]","[-0.175, 0.42]",839.0314339338803,839.6251237983815,840.0327334981412,840.0489440555684,63,151792,19,F,230511_125558,MS,,,0.25714894817060185,0.544597741751968,,0.5579291976207567,0.5692452566729881
25,PraticeBar,,Fixation,1,12,,,,,,,,,,,,,,230511_131132,1.0,1.0,0.3916586060076952,"[-0.06396484375, 0.4493164047598839]","[-0.050097644329071045, 0.40410156548023224]","[-0.1625, 0.42]",842.319811492227,842.9301487375052,843.3218073435128,843.3369996096006,63,151792,19,F,230511_125558,MS,,,0.40356644801693875,0.5543464885745599,,0.5006009013040473,0.5070348598683426
26,PraticeBar,,Fixation,1,13,,,,,,,,,,,,,,230511_131135,1.0,1.0,0.0,,,"[-0.15, 0.42]",845.6076704440637,,,846.6253117411396,63,151792,19,F,230511_125558,MS,,,0.5891727692207227,0.653932904939571,,0.4724348110962555,0.4749099298932281
27,PraticeBar,,Fixation,1,14,,,,,,,,,,,,,,230511_131139,1.0,1.0,0.0,,,"[-0.1375, 0.42]",848.8960367776452,,,849.9137143162079,63,151792,19,F,230511_125558,MS,,,0.3740578269162594,0.4800589175994852,,0.4672204547708404,0.46793523434714457
28,PraticeBar,,Fixation,1,15,,,,,,,,,,,,,,230511_131142,0.0,0.0,0.0,,,"[-0.1375, 0.42]",852.1843976587987,,,853.2016864828764,63,151792,19,F,230511_125558,MS,,,0.47249753147755397,0.5541409746258508,,0.47834590853118364,0.4809862432875016
29,PraticeBar,,Fixation,1,16,,,,,,,,,,,,,,230511_131145,1.0,1.0,0.05070353485643864,"[-0.05087888240814209, 0.462890625]","[-0.04091799259185791, 0.44580078125]","[-0.125, 0.42]",855.4722428196111,856.4216505750082,856.4723541098648,856.4896137481555,63,151792,19,F,230511_125558,MS,,,0.40116559170079585,0.4910767716120385,,0.49955411080004175,0.5031447409931726
30,PraticeBar,,Fixation,1,17,,,,,,,,,,,,,,230511_131152,1.0,1.0,0.0,,,"[-0.11249999999999999, 0.42]",861.794480571989,,,862.8118046750315,63,151792,19,F,230511_125558,MS,,,0.7065741035663183,0.8219631339761924,,0.5449675763580542,0.547962738863526
31,PraticeBar,,Fixation,1,18,,,,,,,,,,,,,,230511_131155,1.0,1.0,0.10286090197041632,"[-0.014941394329071045, 0.44023437425494194]","[-0.01611328125, 0.4166015610098839]","[-0.1, 0.42]",865.0823135450482,865.9810992283748,866.0839601303452,866.0998143660837,63,151792,19,F,230511_125558,MS,,,0.533302984236936,0.6756395564702705,,0.561894627798507,0.5637903126629689
32,PraticeBar,,Fixation,1,19,,,,,,,,,,,,,,230511_131158,0.0,0.0,0.0,,,"[-0.1, 0.42]",868.370675067883,,,869.3882547863759,63,151792,19,F,230511_125558,MS,,,0.5768592268800254,0.6003653395705448,,0.5704966802402738,0.5709646146734537
33,PraticeBar,,Fixation,1,20,,,,,,,,,,,,,,230511_131202,1.0,1.0,0.3915409012697637,"[-0.0185546875, 0.4400390610098839]","[-0.01474606990814209, 0.39423827826976776]","[-0.0875, 0.42]",871.659068020992,872.2693084082567,872.6608493095264,872.6761275292374,63,151792,19,F,230511_125558,MS,,,0.3216562893064171,0.529225857047769,,0.5685441842876178,0.5696320914325965
34,PraticeBar,,Fixation,1,21,,,,,,,,,,,,,,230511_131205,1.0,1.0,0.13691737689077854,"[-0.02871096134185791, 0.45634765550494194]","[-0.02402341365814209, 0.43095703423023224]","[-0.07500000000000001, 0.42]",874.946897787042,875.8116779900156,875.9485953669065,875.9642581320368,63,151792,19,F,230511_125558,MS,,,0.3182858445908698,0.5414546069209251,,0.5538238784508408,0.5569696814636085
35,PraticeBar,,Fixation,1,22,,,,,,,,,,,,,,230511_131208,1.0,1.0,0.0,,,"[-0.0625, 0.42]",878.2347625116819,,,879.252702080179,63,151792,19,F,230511_125558,MS,,,0.3441236284317042,0.4676282746928359,,0.5240091898742602,0.5295946158395809
36,PraticeBar,,Fixation,1,23,,,,,,,,,,,,,,230511_131211,0.0,0.0,0.0,,,"[-0.0625, 0.42]",881.5231442400253,,,882.5409234473482,63,151792,19,F,230511_125558,MS,,,0.41932757776930335,0.596603930484383,,0.47651204566631356,0.48491034766066216
37,PraticeBar,,Fixation,1,24,,,,,,,,,,,,,,230511_131215,1.0,1.0,0.0,,,"[-0.04999999999999999, 0.42]",884.8109999843872,,,885.8288388461806,63,151792,19,F,230511_125558,MS,,,0.6902075545844895,0.846294387334551,,0.40806755793314614,0.4197447129487489
38,PraticeBar,,Fixation,1,25,,,,,,,,,,,,,,230511_131218,0.0,0.0,0.0,,,"[-0.04999999999999999, 0.42]",888.0993666388093,,,889.1168584795668,63,151792,19,F,230511_125558,MS,,,0.8320319646628945,0.8798107224800449,,0.3168607104191562,0.332127669129718
39,PraticeBar,,Fixation,1,26,,,,,,,,,,,,,,230511_131221,1.0,1.0,0.0,,,"[-0.037500000000000006, 0.42]",891.3877332927658,,,892.4051359728909,63,151792,19,F,230511_125558,MS,,,0.5649475105416656,0.6459921594041513,,0.20004776739763183,0.21911733402109526
40,PraticeBar,,Fixation,1,27,,,,,,,,,,,,,,230511_131225,0.0,0.0,0.0,,,"[-0.037500000000000006, 0.42]",894.6756137330086,,,895.6930898581631,63,151792,19,F,230511_125558,MS,,,0.703958727979246,0.7783110351772676,,0.058395943813111216,0.0812677392047448
41,PraticeBar,,Fixation,1,28,,,,,,,,,,,,,,230511_131228,1.0,1.0,0.11915003648027778,"[0.015820324420928955, 0.3985351547598839]","[0.02089846134185791, 0.39580078423023224]","[-0.024999999999999994, 0.42]",897.9639630680904,898.8455227888188,898.9646728252992,898.981107567437,63,151792,19,F,230511_125558,MS,,,0.33343701780244683,0.5340608822943363,,-0.10815625616277266,-0.08166889855587246
42,PraticeBar,,Fixation,1,29,,,,,,,,,,,,,,230511_131231,1.0,0.0,0.0,,,"[-0.024999999999999994, 0.42]",901.2518107946962,,,902.2693950030953,63,151792,19,F,230511_125558,MS,,,0.3381779196202348,0.513893762482752,,-0.2987771567742848,-0.2690432591622001
43,PraticeBar,,Fixation,1,30,,,,,,,,,,,,,,230511_131234,1.0,1.0,0.10313736367970704,"[-0.03330075740814209, 0.4170898422598839]","[-0.02841794490814209, 0.3880859389901161]","[-0.012500000000000011, 0.42]",904.5402075964956,905.4387129694223,905.5418503331019,905.5573857715352,63,151792,19,F,230511_125558,MS,,,0.4024893561412246,0.5783590024567278,,-0.5080830625175559,-0.47562913453605565
44,PraticeBar,,Fixation,1,31,,,,,,,,,,,,,,230511_131238,0.0,0.0,0.0,,,"[-0.012500000000000011, 0.42]",907.8280681520698,,,908.8458566605113,63,151792,19,F,230511_125558,MS,,,0.590885252561954,0.6405385558784716,,-0.7352017163011664,-0.7005140316132645
45,PraticeBar,,Fixation,1,32,,,,,,,,,,,,,,230511_131241,0.0,0.0,0.0,,,"[-0.012500000000000011, 0.42]",911.116427429486,,,912.1340119587258,63,151792,19,F,230511_125558,MS,,,0.5838518700197652,0.7545821093652331,,-0.9734362819547377,-0.9372391773622478
46,PraticeBar,,Fixation,1,33,,,,,,,,,,,,,,230511_131244,1.0,1.0,0.0,,,"[0.0, 0.42]",914.405266827438,,,915.4392370283605,63,151792,19,F,230511_125558,MS,,,0.610651026107508,0.764794728446592,,-1.2193051728503093,-1.1827539663264217
47,PraticeBar,,Fixation,1,34,,,,,,,,,,,,,,230511_131248,1.0,1.0,0.0,,,"[0.012500000000000011, 0.42]",917.7096525682136,,,918.727314071264,63,151792,19,F,230511_125558,MS,,,0.5697742344243969,0.6382753904993366,,-1.4614434633934033,-1.4262841482982351
48,PracticeFinal,None,Ball,0,1,0.0,0.75,0.6568232900463045,2.0,2.0,up,CORRECT,1.0,15.0,0.06666666666666668,940.5474466062152,941.2042698962614,941.2353157568724,230511_131310,,,,,,,,,,,63,151792,19,F,230511_125558,MS,,0.01795441067558762,0.3103783537568656,0.522712227117965,-1.915004552177519,-1.8952590448338311,-1.8811693765434259
49,PracticeFinal,None,Fixation,0,2,,,,,,,,,,,941.7608378273436,,,230511_131312,1.0,1.0,0.13504500361159444,"[-0.03271484375, 0.39472655951976776]","[-0.049121081829071045, 0.3501953184604645]","[-0.23333333333333334, 0.42]",941.7608378273436,942.4049291075207,942.5399741111323,942.7779794400557,63,151792,19,F,230511_125558,MS,,,0.19916945431111535,0.31834404409475564,,-1.827329571646878,-1.8033340247972343
50,PracticeFinal,None,Ball,0,3,0.06666666666666668,0.75,0.5931116035208106,3.0,3.0,down,CORRECT,2.0,15.0,0.13333333333333333,943.1149620520883,943.7080736556089,943.7274779598227,230511_131313,,,,,,,,,,,63,151792,19,F,230511_125558,MS,,0.2020832158209509,0.0963780338946318,0.27799051368758726,-1.7948028782111909,-1.7728705842298855,-1.7583920168307736
51,PracticeFinal,None,Fixation,0,4,,,,,,,,,,,944.2523627565242,,,230511_131314,1.0,0.0,0.0,,,"[-0.21666666666666667, 0.42]",944.2523627565242,,,945.2693234821782,63,151792,19,F,230511_125558,MS,,,0.0029179564228030775,0.11645456926479002,,-1.6990145882585006,-1.672121023458812
52,PracticeFinal,None,Ball,0,5,0.13333333333333333,0.75,0.5618245601654053,1.0,1.0,up,CORRECT,3.0,15.0,0.2,945.6260093110614,946.1878338712268,946.2188765243628,230511_131315,,,,,,,,,,,63,151792,19,F,230511_125558,MS,,0.1602214827659409,0.0014807790031016257,0.16439850393446537,-1.6620972233227784,-1.6390559045851247,-1.6237671725287013
53,PracticeFinal,None,Fixation,0,6,,,,,,,,,,,946.7439014767295,,,230511_131317,0.0,1.0,0.6789556532166898,"[-0.09365236759185791, 0.4022460952401161]","[-0.25078123807907104, 0.39912109076976776]","[-0.2, 0.42]",946.7439014767295,947.0673621408639,947.7463177940808,947.7607640614732,63,151792,19,F,230511_125558,MS,,,-0.15550320998909403,-0.01826707931204176,,-1.5573819121219747,-1.5286873071812577
54,PracticeFinal,None,Ball,0,7,0.2,0.75,0.6728045316413045,3.0,3.0,down,CORRECT,4.0,15.0,0.26666666666666666,948.1153353722766,948.788139903918,948.8125452217647,230511_131318,,,,,,,,,,,63,151792,19,F,230511_125558,MS,,-0.2911014135609624,-0.14655837783819722,-0.05465223702848678,-1.5186581035385458,-1.4901968200531552,-1.4705485842915973
55,PracticeFinal,None,Fixation,0,8,,,,,,,,,,,949.3371243705043,,,230511_131319,0.0,0.0,0.0,,,"[-0.18333333333333335, 0.42]",949.3371243705043,,,950.3541046604513,63,151792,19,F,230511_125558,MS,,,-0.008716520750387771,0.09424410781108113,,-1.40270893678205,-1.373146310908024
56,PracticeFinal,None,Ball,0,9,0.26666666666666666,0.75,0.4894367102533579,3.0,3.0,up,CORRECT,5.0,15.0,0.3333333333333333,950.6909827166237,951.1804194268769,951.2013147664256,230511_131320,,,,,,,,,,,63,151792,19,F,230511_125558,MS,,0.07228139327806014,-0.020540809836815273,0.08890361023135826,-1.36286928985147,-1.3398789656906451,-1.3259569619293543
57,PracticeFinal,None,Fixation,0,10,,,,,,,,,,,951.7269574287347,,,230511_131322,1.0,0.0,0.0,,,"[-0.16666666666666669, 0.42]",951.7269574287347,,,952.7439473397097,63,151792,19,F,230511_125558,MS,,,0.04588496449106303,0.26196321352196106,,-1.2587851786107362,-1.2291815546010891
58,PracticeFinal,None,Ball,0,11,0.3333333333333333,0.75,0.6375123155303299,2.0,2.0,down,CORRECT,6.0,15.0,0.4,953.1021514651366,953.7396637806668,953.7606450738383,230511_131323,,,,,,,,,,,63,151792,19,F,230511_125558,MS,,0.35738935052853027,0.02355654796057874,0.34310402052163996,-1.2183278727828577,-1.1912485395647976,-1.1726316601680915
59,PracticeFinal,None,Fixation,0,12,,,,,,,,,,,954.2862922260538,,,230511_131324,1.0,0.0,0.0,,,"[-0.15, 0.42]",954.2862922260538,,,955.3032465372237,63,151792,19,F,230511_125558,MS,,,0.017805834333323528,0.26446034711120864,,-1.1052617892026493,-1.076265169399954
60,PracticeFinal,None,Ball,0,13,0.4,0.75,,,1.0,up,SLOW,6.0,15.0,0.4,955.6553065967746,,956.4387030270883,230511_131326,,,,,,,,,,,63,151792,19,F,230511_125558,MS,,0.3330007750972256,0.06443089131389623,0.34671255862765055,-1.0656713302735559,-1.0358106996220797,-1.0142532263072779
61,PracticeFinal,None,Fixation,0,14,,,,,,,,,,,956.9642520383933,,,230511_131327,1.0,1.0,0.2892739758826792,"[-0.23701173067092896, 0.4476562514901161]","[-0.22871094942092896, 0.4345703125]","[-0.15, 0.42]",956.9642520383933,957.676337281242,957.9656112571248,957.981279795058,63,151792,19,F,230511_125558,MS,,,0.10232589871365708,0.2226597280821182,,-0.9493345801338297,-0.9215336533627342
62,PracticeFinal,None,Ball,0,15,0.4,0.75,,,2.0,up,SLOW,6.0,15.0,0.4,958.3350618095136,,959.11666829139,230511_131328,,,,,,,,,,,63,151792,19,F,230511_125558,MS,,-0.12481199940576437,-0.10918619290886018,0.014820584024626902,-0.9119690043971836,-0.8834918149660548,-0.8635322980322977
63,PracticeFinal,None,Fixation,0,16,,,,,,,,,,,959.6422288487663,,,230511_131329,1.0,1.0,0.0007735807448625566,"[-0.06796872615814209, 0.47871093824505806]","[-0.06728518009185791, 0.47978515550494194]","[-0.15, 0.42]",959.6422288487663,960.0831320267172,960.083905607462,960.6594522455707,63,151792,19,F,230511_125558,MS,,,0.03954535010237606,0.13065028139342838,,-0.8010089576015951,-0.7748196629473818
64,PracticeFinal,None,Ball,0,17,0.4,0.75,0.6198739046230912,2.0,2.0,down,CORRECT,7.0,15.0,0.4666666666666667,961.0161396781914,961.6360135828144,961.659056795761,230511_131331,,,,,,,,,,,63,151792,19,F,230511_125558,MS,,0.0771146689619855,0.08940319171904351,0.17378919843290996,-0.7658332701516675,-0.7422519574688435,-0.726655400836977
65,PracticeFinal,None,Fixation,0,18,,,,,,,,,,,962.1846170322971,,,230511_131332,1.0,0.0,0.0,,,"[-0.13333333333333333, 0.42]",962.1846170322971,,,963.2017936040647,63,151792,19,F,230511_125558,MS,,,0.18209184917287388,0.40692822532507855,,-0.6692416459709984,-0.6448519872491763
66,PracticeFinal,None,Ball,0,19,0.4666666666666667,0.75,,,1.0,up,SLOW,7.0,15.0,0.4666666666666667,963.5586057971233,,964.3539956146852,230511_131333,,,,,,,,,,,63,151792,19,F,230511_125558,MS,,0.31812665697680703,0.03239322316152142,0.24754675346186059,-0.636502127520057,-0.6117431784047526,-0.594453406027128
67,PracticeFinal,None,Fixation,0,20,,,,,,,,,,,964.879521213472,,,230511_131335,1.0,1.0,0.004743474069982767,"[-0.03701174259185791, 0.46650390699505806]","[-0.0322265625, 0.47099609300494194]","[-0.13333333333333333, 0.42]",964.879521213472,965.3724967669696,965.3772402410395,965.8965858533047,63,151792,19,F,230511_125558,MS,,,0.26807228983242504,0.35740535402479917,,-0.5398695733596941,-0.5175690995380361
68,PracticeFinal,None,Ball,0,21,0.4666666666666667,0.6,,,2.0,down,SLOW,7.0,15.0,0.4666666666666667,966.2526366529056,,966.8963462738319,230511_131336,,,,,,,,,,,63,151792,19,F,230511_125558,MS,,0.35522979547674055,0.24735763389807938,0.34583335442391544,-0.5099505112341028,-0.49046082483734454,-0.4777499378428612
69,PracticeFinal,None,Fixation,0,22,,,,,,,,,,,967.4218962476587,,,230511_131337,1.0,0.0,0.0,,,"[-0.13333333333333333, 0.42]",967.4218962476587,,,968.4388476721942,63,151792,19,F,230511_125558,MS,,,0.02960593064421373,0.25505584788986196,,-0.4288600315714419,-0.4085867391131804
70,PracticeFinal,None,Ball,0,23,0.4666666666666667,0.75,,,3.0,up,SLOW,7.0,15.0,0.4666666666666667,968.7950915466065,,969.5912966392933,230511_131339,,,,,,,,,,,63,151792,19,F,230511_125558,MS,,0.2718909401763709,-0.06403006741330439,0.23113347445207047,-0.4016718039971718,-0.3812296833157182,-0.36699306466298365
71,PracticeFinal,None,Fixation,0,24,,,,,,,,,,,970.1168254450896,,,230511_131340,1.0,0.0,0.0,,,"[-0.13333333333333333, 0.42]",970.1168254450896,,,971.1338047725148,63,151792,19,F,230511_125558,MS,,,0.2055485816587177,0.4081549564024972,,-0.32234724002905923,-0.3042034824323025
72,PracticeFinal,None,Ball,0,25,0.4666666666666667,0.75,0.708408810198307,2.0,2.0,up,CORRECT,8.0,15.0,0.5333333333333333,971.486820582766,972.1952293929643,972.2183931968176,230511_131341,,,,,,,,,,,63,151792,19,F,230511_125558,MS,,0.24840889560993984,-0.03903207848862266,0.09580883332011822,-0.29802401520655114,-0.28048339203991207,-0.2684809446809686
73,PracticeFinal,None,Fixation,0,26,,,,,,,,,,,972.7439418877476,,,230511_131343,1.0,1.0,0.5446717222221196,"[-0.055957019329071045, 0.40058593451976776]","[-0.22958984971046448, 0.4154296889901161]","[-0.11666666666666667, 0.42]",972.7439418877476,973.2017663423904,973.7464380646124,973.76091544237,63,151792,19,F,230511_125558,MS,,,-0.128319731552654,0.0011516867189687698,,-0.23003390775264645,-0.21387278122349307
74,PracticeFinal,None,Ball,0,27,0.5333333333333333,0.75,0.7203637114726007,2.0,2.0,up,CORRECT,9.0,15.0,0.6,974.1147154169156,974.8350791283883,974.8624466317706,230511_131344,,,,,,,,,,,63,151792,19,F,230511_125558,MS,,-0.21173139530706075,-0.09513785859166901,-0.022599322900821846,-0.20837484928104547,-0.19246981658072684,-0.18150319374827262
