,Phase,Block,TrialType,ifProgress,Trial,PFilled,TimeOut,RT,Choice,CorrectAnswer,CorrectLoc,Feedback,CorrectCount,CorrectRequire,PFilledNew,START,KeyPressTime,FeedbackTime,END,ifLookedFix,ifLookProg,progLookDur,progStartLoc,progEndLoc,progPosition,ITI1,progLookStart,progLookEnd,ITI2,PID,SONA,Age,Gender,TIME,EXPERIMENTER,Unnamed: 35,phasic_pupil_base,phasic_pupil_terp_mean,phasic_pupil_terp_max,tonic_pupil_base,tonic_pupil_terp_mean,tonic_pupil_terp_max
0,PraticeBall,None,Ball,None,1,0.0,0.75,0.5879159735177382,2.0,2.0,up,CORRECT,1.0,5.0,0.2,257.0000128286665,257.58792880218425,257.6212355481064,230531_151231,,,,,,,,,,,83,153211,20,M,230531_150739,MS,,0.9700922907754546,1.1831651512403594,1.3603433036897445,2.2962198878177382,2.3095658027740416,2.3229849207078654
1,PraticeBall,None,Fixation,None,2,,,,,,,,,,,258.2318496018463,,,230531_151232,0.0,0.0,0.0,,,"[-0.2, 0.42]",258.2318496018463,,,259.24819877505485,83,153211,20,M,230531_150739,MS,,,1.0760864123591218,1.4288282618932033,,2.379404354755016,2.403914710803016
2,PraticeBall,None,Ball,None,3,0.2,0.75,0.7037036680683286,3.0,3.0,up,CORRECT,2.0,5.0,0.4,259.60402140206435,260.3077250701326,260.3330889472379,230531_151233,,,,,,,,,,,83,153211,20,M,230531_150739,MS,,1.5781558170942982,1.5566063315970877,1.6717676904723136,2.417082792724315,2.4416375349080055,2.4591650538886554
3,PraticeBall,None,Fixation,None,4,,,,,,,,,,,260.96078982250583,,,230531_151235,0.0,0.0,0.0,,,"[-0.15, 0.42]",260.96078982250583,,,261.97694303783464,83,153211,20,M,230531_150739,MS,,,1.1223853034026545,1.2105892269909597,,2.5196189869440953,2.5457734524007276
4,PraticeBall,None,Ball,None,5,0.4,0.75,0.5350804694137423,3.0,3.0,down,CORRECT,3.0,5.0,0.6,262.33287695352533,262.8679574229391,262.8924014846616,230531_151236,,,,,,,,,,,83,153211,20,M,230531_150739,MS,,1.1839523402332124,1.3084682155716059,1.3816835364382858,2.5603259729163517,2.5820321537850246,2.595664827189989
5,PraticeBall,None,Fixation,None,6,,,,,,,,,,,263.48620934395166,,,230531_151237,0.0,0.0,0.0,,,"[-0.1, 0.42]",263.48620934395166,,,264.5026823137912,83,153211,20,M,230531_150739,MS,,,0.815384355313535,0.9761327040397346,,2.65812400157579,2.685510255758024
6,PraticeBall,None,Ball,None,7,0.6,0.75,0.7281294489414449,1.0,1.0,up,CORRECT,4.0,5.0,0.8,264.86010499622034,265.58823444516185,265.6212336238064,230531_151239,,,,,,,,,,,83,153211,20,M,230531_150739,MS,,1.0707505296546702,1.0567425458585198,1.2452781252494745,2.7001422196153437,2.7278654627321663,2.7477468501107434
7,PraticeBall,None,Fixation,None,8,,,,,,,,,,,266.2317126558321,,,230531_151240,0.0,0.0,0.0,,,"[-0.04999999999999999, 0.42]",266.2317126558321,,,267.24844348186684,83,153211,20,M,230531_150739,MS,,,0.6043895394718009,0.7746738343882101,,2.8136578482677583,2.841911468304629
8,PraticeBall,None,Ball,None,9,0.8,0.75,0.7027735897527236,1.0,1.0,down,CORRECT,5.0,5.0,1.0,267.6047289030176,268.30750249277025,268.333084136488,230531_151241,,,,,,,,,,,83,153211,20,M,230531_150739,MS,,0.8554596943196631,0.9691948899433904,1.1027872600530535,2.856950362085025,2.884767842794996,2.9044953438050105
9,PraticeBall,None,Fixation,None,10,,,,,,,,,,,268.9438575864083,,,230531_151243,0.0,0.0,0.0,,,"[0.0, 0.42]",268.9438575864083,,,269.96021509825005,83,153211,20,M,230531_150739,MS,,,1.0859778218459306,1.2771954653022868,,2.970127884872962,2.9985630860344727
10,PraticeBar,,Fixation,1,1,,,,,,,,,,,,,,230531_151321,1.0,1.0,0.3557761230936194,"[-0.07832032442092896, 0.38251952826976776]","[-0.064453125, 0.3773437514901161]","[-0.2375, 0.42]",307.51923963211243,308.16378647069587,308.5195625937895,308.53759552946616,83,153211,20,M,230531_150739,MS,,,0.4614844414895815,0.5086122864480949,,2.6109980736279437,2.6557215006095407
11,PraticeBar,,Fixation,1,2,,,,,,,,,,,,,,230531_151324,1.0,0.0,0.0,,,"[-0.2375, 0.42]",310.80754947776114,,,311.82478447038625,83,153211,20,M,230531_150739,MS,,,0.5733684571169418,0.7036715896068091,,2.307449764159439,2.352482143592594
12,PraticeBar,,Fixation,1,3,,,,,,,,,,,,,,230531_151328,1.0,1.0,0.0,,,"[-0.225, 0.42]",314.09536445760233,,,315.1131154833345,83,153211,20,M,230531_150739,MS,,,0.10681384651727809,0.4091063256252348,,2.0111156962757644,2.054502301078754
13,PraticeBar,,Fixation,1,4,,,,,,,,,,,,,,230531_151331,1.0,1.0,0.0,,,"[-0.2125, 0.42]",317.3836836040344,,,318.4012749128692,83,153211,20,M,230531_150739,MS,,,0.44949444108144754,0.5440620850147356,,1.7316678792439886,1.7718759361132677
14,PraticeBar,,Fixation,1,5,,,,,,,,,,,,,,230531_151334,1.0,1.0,0.0,,,"[-0.2, 0.42]",320.67196169873336,,,321.6893496732057,83,153211,20,M,230531_150739,MS,,,-0.13166833294013106,0.05762426629637682,,1.4762598662201756,1.512166090278036
15,PraticeBar,,Fixation,1,6,,,,,,,,,,,,,,230531_151338,1.0,0.0,0.0,,,"[-0.2, 0.42]",323.95979624229113,,,324.97729807117804,83,153211,20,M,230531_150739,MS,,,0.12129050036917369,0.19447707906836123,,1.2540057087623455,1.2849154633091933
16,PraticeBar,,Fixation,1,7,,,,,,,,,,,,,,230531_151341,1.0,0.0,0.0,,,"[-0.2, 0.42]",327.2481083329565,,,328.26570733899143,83,153211,20,M,230531_150739,MS,,,0.6095696661351844,0.7358206012401471,,1.0653251446881535,1.090958331381899
17,PraticeBar,,Fixation,1,8,,,,,,,,,,,,,,230531_151344,1.0,1.0,0.0,,,"[-0.1875, 0.42]",330.5364117642718,,,331.55393764690825,83,153211,20,M,230531_150739,MS,,,0.4881209025948158,0.7039909609087012,,0.912590321950048,0.9331298665752676
18,PraticeBar,,Fixation,1,9,,,,,,,,,,,,,,230531_151348,1.0,0.0,0.0,,,"[-0.1875, 0.42]",333.8242568914793,,,334.8419822598787,83,153211,20,M,230531_150739,MS,,,0.2906361013376599,0.3847002278589456,,0.7927944452786287,0.8085713302705031
19,PraticeBar,,Fixation,1,10,,,,,,,,,,,,,,230531_151351,1.0,1.0,0.0,,,"[-0.175, 0.42]",337.11253691047864,,,338.1301237292805,83,153211,20,M,230531_150739,MS,,,0.5671249080073753,0.756389590830572,,0.7029703353776807,0.7143668457421356
20,PraticeBar,,Fixation,1,11,,,,,,,,,,,,,,230531_151354,1.0,0.0,0.0,,,"[-0.175, 0.42]",340.40086792342686,,,341.41810644393536,83,153211,20,M,230531_150739,MS,,,0.530535843242218,0.6659970768536648,,0.641158396952705,0.6486908359859259
