,Phase,Block,TrialType,ifProgress,Trial,PFilled,TimeOut,RT,Choice,CorrectAnswer,CorrectLoc,Feedback,CorrectCount,CorrectRequire,PFilledNew,START,KeyPressTime,FeedbackTime,END,ifLookedFix,ifLookProg,progLookDur,progStartLoc,progEndLoc,progPosition,ITI1,progLookStart,progLookEnd,ITI2,PID,SONA,Age,Gender,TIME,EXPERIMENTER,Unnamed: 35,phasic_pupil_base,phasic_pupil_terp_mean,phasic_pupil_terp_max,tonic_pupil_base,tonic_pupil_terp_mean,tonic_pupil_terp_max
0,PraticeBall,None,Ball,None,1,0.0,0.75,0.7521408176980913,1.0,1.0,up,CORRECT,1.0,5.0,0.2,535.5359432809055,536.2880840986036,536.3143216995521,230629_163556,,,,,,,,,,,93,146539,22,F,230629_161818,MS,,0.28895429254670063,0.31521293878062784,0.4774879422342678,-0.28647499030619444,-0.3219032236177613,-0.28647499030619444
1,PraticeBall,None,Fixation,None,2,,,,,,,,,,,536.924525203649,,,230629_163558,0.0,0.0,0.0,,,"[-0.2, 0.42]",536.924525203649,,,537.9407787378876,93,146539,22,F,230629_161818,MS,,,0.5980612018419464,0.7076536219598766,,-0.473160833965302,-0.4221009633357914
2,PraticeBall,None,Ball,None,3,0.2,0.75,,,1.0,down,SLOW,1.0,5.0,0.2,538.298311913386,,539.0934531721286,230629_163559,,,,,,,,,,,93,146539,22,F,230629_161818,MS,,0.6680317418101107,0.687743076450297,0.8040976665744617,-0.5534517504197302,-0.6102447755222453,-0.5688354849208386
3,PraticeBall,None,Fixation,None,4,,,,,,,,,,,539.7039809259586,,,230629_163601,0.0,0.0,0.0,,,"[-0.2, 0.42]",539.7039809259586,,,540.7205962347798,93,146539,22,F,230629_161818,MS,,,0.9159196202032669,1.030739913725043,,-0.7885253133702865,-0.7293087556743928
4,PraticeBall,None,Ball,None,5,0.2,0.75,,,2.0,down,SLOW,1.0,5.0,0.2,541.0778558342719,,541.8731532846576,230629_163602,,,,,,,,,,,93,146539,22,F,230629_161818,MS,,0.8107522730132296,0.5340770555396283,0.7221479368942739,-0.8813659533701368,-0.9467432672530244,-0.8991024398783407
5,PraticeBall,None,Fixation,None,6,,,,,,,,,,,542.483734278474,,,230629_163603,0.0,0.0,0.0,,,"[-0.2, 0.42]",542.483734278474,,,543.4998781257309,93,146539,22,F,230629_161818,MS,,,0.7705135809649761,0.8123236407213033,,-1.1506883595681412,-1.083195423659627
6,PraticeBall,None,Ball,None,7,0.2,0.75,0.7436275803484023,1.0,1.0,down,CORRECT,2.0,5.0,0.4,543.8558519524522,544.5994795328006,544.6187796029262,230629_163605,,,,,,,,,,,93,146539,22,F,230629_161818,MS,,0.7568448454092939,0.6585863387147494,0.8079917395141981,-1.2561773458795815,-1.3286485314816634,-1.2762691732442701
7,PraticeBall,None,Fixation,None,8,,,,,,,,,,,545.2295709899627,,,230629_163606,0.0,0.0,0.0,,,"[-0.15, 0.42]",545.2295709899627,,,546.2461952785961,93,146539,22,F,230629_161818,MS,,,0.7299452713303907,0.8112610201256651,,-1.553097219524182,-1.4776522706106987
8,PraticeBall,None,Ball,None,9,0.4,0.75,0.7011601785197854,1.0,1.0,down,CORRECT,3.0,5.0,0.6,546.6021546726115,547.3033148511313,547.3307692701928,230629_163608,,,,,,,,,,,93,146539,22,F,230629_161818,MS,,0.7444175930078055,0.6486195925928897,0.7529281522748432,-1.6722336779898292,-1.751008490404817,-1.6961632062688743
9,PraticeBall,None,Fixation,None,10,,,,,,,,,,,547.9414259544574,,,230629_163609,0.0,0.0,0.0,,,"[-0.1, 0.42]",547.9414259544574,,,548.9580059833825,93,146539,22,F,230629_161818,MS,,,0.6801811090657646,0.7769931986580781,,-1.9949448312933575,-1.912179877680381
