,Phase,Block,TrialType,ifProgress,Trial,PFilled,TimeOut,RT,Choice,CorrectAnswer,CorrectLoc,Feedback,CorrectCount,CorrectRequire,PFilledNew,START,KeyPressTime,FeedbackTime,END,ifLookedFix,ifLookProg,progLookDur,progStartLoc,progEndLoc,progPosition,ITI1,progLookStart,progLookEnd,ITI2,PID,SONA,Age,Gender,TIME,EXPERIMENTER,Unnamed: 35,phasic_pupil_base,phasic_pupil_terp_mean,phasic_pupil_terp_max,tonic_pupil_base,tonic_pupil_terp_mean,tonic_pupil_terp_max
0,PraticeBall,None,Ball,None,1,0.0,0.75,0.5869556711295445,1.0,1.0,up,CORRECT,1.0,5.0,0.2,272.9994733749663,273.58642904609593,273.6068218147193,230717_130828,,,,,,,,,,,102,999102,18,M,230717_125659,MS,,0.35339122553730046,0.3822732475343016,0.49653684843283763,-0.8110513156395934,-0.8440630012511309,-0.8110513156395934
1,PraticeBall,None,Fixation,None,2,,,,,,,,,,,274.52285398695494,,,230717_130829,0.0,0.0,0.0,,,"[-0.2, 0.42]",274.52285398695494,,,275.53915755389426,102,999102,18,M,230717_125659,MS,,,0.48388561755358694,0.5642189394615891,,-1.0159316411795176,-0.9549463586220511
2,PraticeBall,None,Ball,None,3,0.2,0.75,0.4845511563944456,1.0,1.0,down,CORRECT,2.0,5.0,0.4,275.89364547679725,276.3781966331917,276.4035503250834,230717_130830,,,,,,,,,,,102,999102,18,M,230717_125659,MS,,0.20540504471648327,0.2781877493237261,0.3213041227366339,-1.1525135585081174,-1.2011164778712613,-1.1708018209394537
3,PraticeBall,None,Fixation,None,4,,,,,,,,,,,277.0142002740249,,,230717_130832,0.0,0.0,0.0,,,"[-0.15, 0.42]",277.0142002740249,,,278.0304252641454,102,999102,18,M,230717_125659,MS,,,0.13665120488779967,0.20811337361483398,,-1.3853200323878803,-1.3178227475444122
4,PraticeBall,None,Ball,None,5,0.4,0.75,0.36445787769480376,3.0,3.0,up,CORRECT,3.0,5.0,0.6,278.3899789863135,278.7544368640083,278.7764168843296,230717_130833,,,,,,,,,,,102,999102,18,M,230717_125659,MS,,0.18438744441199165,0.21705641921106805,0.2379851790041515,-1.4917012248369053,-1.5373575737059835,-1.5130292180371747
5,PraticeBall,None,Fixation,None,6,,,,,,,,,,,279.3872342499981,,,230717_130834,0.0,0.0,0.0,,,"[-0.1, 0.42]",279.3872342499981,,,280.4036943291267,102,999102,18,M,230717_125659,MS,,,0.3522005046838065,0.3821931084923812,,-1.7275228449126434,-1.6548760103425189
6,PraticeBall,None,Ball,None,7,0.6,0.75,0.40376328429192654,2.0,2.0,down,CORRECT,4.0,5.0,0.8,280.75896609586744,281.16272938015936,281.1831330533205,230717_130835,,,,,,,,,,,102,999102,18,M,230717_125659,MS,,0.3913016292655565,0.40242733559318705,0.4197007359472314,-1.840221832568094,-1.8906168865215522,-1.8615310721261953
7,PraticeBall,None,Fixation,None,8,,,,,,,,,,,281.8109351988205,,,230717_130837,0.0,0.0,0.0,,,"[-0.04999999999999999, 0.42]",281.8109351988205,,,282.82744755558633,102,999102,18,M,230717_125659,MS,,,0.3041180436356289,0.41874732733374037,,-2.0964536636250766,-2.019178669902385
8,PraticeBall,None,Ball,None,9,0.8,0.75,0.5022043202479836,1.0,1.0,down,CORRECT,5.0,5.0,1.0,283.18778512159224,283.68998944184017,283.7086599349313,230717_130838,,,,,,,,,,,102,999102,18,M,230717_125659,MS,,0.26806010382872864,0.31307498186581617,0.3796946818620866,-2.219234170778535,-2.282283714444721,-2.2417909647843572
9,PraticeBall,None,Fixation,None,10,,,,,,,,,,,284.31987884416964,,,230717_130839,0.0,0.0,0.0,,,"[0.0, 0.42]",284.31987884416964,,,285.3357263448488,102,999102,18,M,230717_125659,MS,,,0.14636791350928946,0.23796143480678958,,-2.505812343482567,-2.4245645295452936
10,PraticeBar,,Fixation,1,1,,,,,,,,,,,,,,230717_130921,1.0,1.0,0.3396157369152206,"[-0.0126953125, 0.43378905951976776]","[-0.007519543170928955, 0.4286132827401161]","[-0.2375, 0.42]",326.28470882318106,326.946049478378,327.2856652152932,327.3020502455438,102,999102,18,M,230717_125659,MS,,,-0.015814242166208393,0.1029963183871759,,-4.358990559549526,-4.2795529101013825
11,PraticeBar,,Fixation,1,2,,,,,,,,,,,,,,230717_130924,1.0,1.0,0.5432307194932946,"[-0.08144533634185791, 0.41289062798023224]","[-0.23232421278953552, 0.4242187514901161]","[-0.225, 0.42]",329.5725552667627,330.03101859929296,330.5742493187863,330.59014717277387,102,999102,18,M,230717_125659,MS,,,0.3048884153710328,0.5107639839179684,,-3.814002611035572,-3.730954064242909
12,PraticeBar,,Fixation,1,3,,,,,,,,,,,,,,230717_130928,1.0,1.0,0.5251920481532579,"[-0.08564454317092896, 0.4600585922598839]","[-0.20722657442092896, 0.42578125]","[-0.2125, 0.42]",332.86094789940034,333.3359235886965,333.86111563684966,333.8783319777485,102,999102,18,M,230717_125659,MS,,,0.1195490448173086,0.23433881083957367,,-3.256991203575011,-3.174191711821379
13,PraticeBar,,Fixation,1,4,,,,,,,,,,,,,,230717_130931,1.0,1.0,0.5776425543826917,"[-0.07490235567092896, 0.4208984375]","[-0.17558592557907104, 0.41669921576976776]","[-0.2, 0.42]",336.14931230852926,336.5732204435699,337.15086299795263,337.16633974434626,102,999102,18,M,230717_125659,MS,,,0.024680342136532685,0.21893028405907602,,-2.707938573261608,-2.628436336777518
14,PraticeBar,,Fixation,1,5,,,,,,,,,,,,,,230717_130934,1.0,1.0,0.0,,,"[-0.1875, 0.42]",339.43718665489723,,,340.4547618833804,102,999102,18,M,230717_125659,MS,,,-0.09603562406431707,0.04868073413588886,,-2.1915021294221004,-2.117559562671164
15,PraticeBar,,Fixation,1,6,,,,,,,,,,,,,,230717_130938,1.0,1.0,0.6271514011696127,"[-0.11162108182907104, 0.3975585922598839]","[-0.13037109375, 0.4169921875]","[-0.175, 0.42]",342.72554080093136,343.09868959527375,343.7258409964434,343.74273340842416,102,999102,18,M,230717_125659,MS,,,-0.026317143356989342,0.17169593266068076,,-1.7148727125899614,-1.6482064038436353
16,PraticeBar,,Fixation,1,7,,,,,,,,,,,,,,230717_130941,1.0,1.0,0.6804486126875418,"[-0.09775388240814209, 0.44677734375]","[-0.11181640625, 0.4261718764901161]","[-0.1625, 0.42]",346.0148818076377,346.33582256135924,347.0162711740468,347.03070846140685,102,999102,18,M,230717_125659,MS,,,0.15743795267008118,0.3244706629520365,,-1.2935019463716853,-1.2352469261774843
17,PraticeBar,,Fixation,1,8,,,,,,,,,,,,,,230717_130944,1.0,1.0,0.6283621255897742,"[-0.09414064884185791, 0.40595702826976776]","[-0.08828127384185791, 0.3877929672598839]","[-0.15, 0.42]",349.3017397869371,349.67480487291687,350.30316699850664,350.3190096883609,102,999102,18,M,230717_125659,MS,,,0.06472188593721732,0.19472794268686808,,-0.9309119842805685,-0.8818110142103928
18,PraticeBar,,Fixation,1,9,,,,,,,,,,,,,,230717_130947,1.0,1.0,0.0,,,"[-0.1375, 0.42]",352.5896340180516,,,353.6086762275936,102,999102,18,M,230717_125659,MS,,,-0.0009714080836120412,0.0977427392796814,,-0.6292256394153021,-0.5896949293362096
19,PraticeBar,,Fixation,1,10,,,,,,,,,,,,,,230717_130951,1.0,1.0,0.6431836375486455,"[-0.03759765625, 0.41796875]","[-0.04296875, 0.41582031548023224]","[-0.125, 0.42]",355.87798399470375,356.23532056775366,356.87850420530225,356.895329907169,102,999102,18,M,230717_125659,MS,,,0.17612695385515453,0.4512699986631534,,-0.3935911517415763,-0.3636502720359692
20,PraticeBar,,Fixation,1,11,,,,,,,,,,,,,,230717_130957,1.0,1.0,0.5970715542953258,"[-0.034863293170928955, 0.42011718451976776]","[0.003222644329071045, 0.42265625298023224]","[-0.11249999999999999, 0.42]",362.2001973721344,362.60714061209,363.2042121663853,363.2192665222992,102,999102,18,M,230717_125659,MS,,,0.759343547675958,1.2340206528406037,,-0.11877247577442515,-0.10679602958880956
