,Phase,Block,TrialType,ifProgress,Trial,PFilled,TimeOut,RT,Choice,CorrectAnswer,CorrectLoc,Feedback,CorrectCount,CorrectRequire,PFilledNew,START,KeyPressTime,FeedbackTime,END,ifLookedFix,ifLookProg,progLookDur,progStartLoc,progEndLoc,progPosition,ITI1,progLookStart,progLookEnd,ITI2,PID,SONA,Age,Gender,TIME,EXPERIMENTER,Unnamed: 35,phasic_pupil_base,phasic_pupil_terp_mean,phasic_pupil_terp_max,tonic_pupil_base,tonic_pupil_terp_mean,tonic_pupil_terp_max
0,PraticeBall,None,Ball,None,1,0.0,0.75,,,2.0,down,SLOW,0.0,5.0,0.0,195.43866867513862,,196.23293950268996,230306_120840,,,,,,,,,,,28,153568,18,F,230306_120320,AB,,0.1883345893543997,0.19667130336436325,0.24010716584839653,0.48746220179631733,0.4821898289061612,0.48746220179631733
1,PraticeBall,None,Fixation,None,2,,,,,,,,,,,196.84360041515905,,,230306_120842,0.0,0.0,0.0,,,"[-0.25, 0.42]",196.84360041515905,,,197.8603252012981,28,153568,18,F,230306_120320,AB,,,0.2784935737854884,0.32067226170830004,,0.4576840794409127,0.4662055337509617
2,PraticeBall,None,Ball,None,3,0.0,0.75,0.5865050976863131,2.0,2.0,down,CORRECT,1.0,5.0,0.2,198.21835775219367,198.80486284987998,198.8262521539582,230306_120843,,,,,,,,,,,28,153568,18,F,230306_120320,AB,,0.3037495898340747,0.26218297305380395,0.3010533448589894,0.4440207272610632,0.4354194903384302,0.4410850331683735
3,PraticeBall,None,Fixation,None,4,,,,,,,,,,,199.86070845893119,,,230306_120845,0.0,0.0,0.0,,,"[-0.2, 0.42]",199.86070845893119,,,200.87714267475533,28,153568,18,F,230306_120320,AB,,,0.1924861442481234,0.27682832535436563,,0.4040835505586183,0.4156151320885345
4,PraticeBall,None,Ball,None,5,0.2,0.75,,,2.0,up,SLOW,1.0,5.0,0.2,201.23443693353332,,202.0296955715166,230306_120846,,,,,,,,,,,28,153568,18,F,230306_120320,AB,,0.25234367651551753,0.21595032733777222,0.2639118750665061,0.37411086601289273,0.3598946057989852,0.37002725766035266
5,PraticeBall,None,Fixation,None,6,,,,,,,,,,,202.6404642452253,,,230306_120848,0.0,0.0,0.0,,,"[-0.2, 0.42]",202.6404642452253,,,203.6569205905544,28,153568,18,F,230306_120320,AB,,,0.35816345408025185,0.4505370921628856,,0.3135869252950947,0.3294442482174986
6,PraticeBall,None,Ball,None,7,0.2,0.75,0.5083147664554417,2.0,2.0,up,CORRECT,2.0,5.0,0.4,204.0170827069087,204.52539747336414,204.5551373040071,230306_120849,,,,,,,,,,,28,153568,18,F,230306_120320,AB,,0.5168777212201893,0.5228619956677061,0.543582264338309,0.28787579491211446,0.27390703655942633,0.28257632483497225
7,PraticeBall,None,Fixation,None,8,,,,,,,,,,,205.16580847953446,,,230306_120850,0.0,0.0,0.0,,,"[-0.15, 0.42]",205.16580847953446,,,206.1821567430161,28,153568,18,F,230306_120320,AB,,,0.19855513608194322,0.22369502906182392,,0.22017160028497046,0.2399278524368554
8,PraticeBall,None,Ball,None,9,0.4,0.75,,,3.0,down,SLOW,2.0,5.0,0.4,206.5383769182954,,207.33482285309586,230306_120852,,,,,,,,,,,28,153568,18,F,230306_120320,AB,,0.25354947688195306,0.2674191422587809,0.3392675748570932,0.1887284156994672,0.16609744779653904,0.18263440115446752
9,PraticeBall,None,Fixation,None,10,,,,,,,,,,,207.92856686969756,,,230306_120853,0.0,0.0,0.0,,,"[-0.15, 0.42]",207.92856686969756,,,208.9449132089503,28,153568,18,F,230306_120320,AB,,,0.3778044920392177,0.4168597135241763,,0.09340456698069755,0.11786515911311797
10,PraticeBall,None,Ball,None,11,0.4,0.75,0.6446159357437864,2.0,2.0,up,CORRECT,3.0,5.0,0.6,209.3043751985533,209.9489911342971,209.97887945722326,230306_120854,,,,,,,,,,,28,153568,18,F,230306_120320,AB,,0.4493724371010217,0.4234124265212649,0.47453169512115423,0.05570843283785205,0.030795370042921922,0.04823772564717058
11,PraticeBall,None,Fixation,None,12,,,,,,,,,,,210.58959392970428,,,230306_120856,0.0,0.0,0.0,,,"[-0.1, 0.42]",210.58959392970428,,,211.60618241073098,28,153568,18,F,230306_120320,AB,,,0.13543748584848034,0.1987839520365844,,-0.05289331877910772,-0.023580166182660955
12,PraticeBall,None,Ball,None,13,0.6,0.75,0.5696430443786085,2.0,2.0,up,CORRECT,4.0,5.0,0.8,211.96309277042747,212.5327358148061,212.5551267203409,230306_120857,,,,,,,,,,,28,153568,18,F,230306_120320,AB,,0.2161817867926663,0.2849622372894856,0.3287873281706904,-0.09917539306633534,-0.1261937008390346,-0.10807748979098117
13,PraticeBall,None,Fixation,None,14,,,,,,,,,,,213.18285558687057,,,230306_120858,0.0,0.0,0.0,,,"[-0.04999999999999999, 0.42]",213.18285558687057,,,214.1994463129668,28,153568,18,F,230306_120320,AB,,,0.14167034439518572,0.24418599156682044,,-0.22205410918656007,-0.18769470744596392
14,PraticeBall,None,Ball,None,15,0.8,0.75,,,1.0,up,SLOW,4.0,5.0,0.8,214.5566918225959,,215.35172435466663,230306_120900,,,,,,,,,,,28,153568,18,F,230306_120320,AB,,0.2882217814186658,0.2932918757352092,0.3541139780889857,-0.27687435167904945,-0.3152018815771148,-0.2879992043099011
15,PraticeBall,None,Fixation,None,16,,,,,,,,,,,215.9622473586351,,,230306_120901,0.0,0.0,0.0,,,"[-0.04999999999999999, 0.42]",215.9622473586351,,,216.97872936131898,28,153568,18,F,230306_120320,AB,,,0.40055011578806693,0.4667079357736334,,-0.4365889402656876,-0.39647999617252155
16,PraticeBall,None,Ball,None,17,0.8,0.6,,,2.0,up,SLOW,4.0,5.0,0.8,217.3365075831534,,217.9786193552427,230306_120902,,,,,,,,,,,28,153568,18,F,230306_120320,AB,,0.481597968823494,0.4929938483706031,0.5325994166522269,-0.49867287164568636,-0.5368584837641035,-0.5115681384207388
