,Phase,Block,TrialType,ifProgress,Trial,PFilled,TimeOut,RT,Choice,CorrectAnswer,CorrectLoc,Feedback,CorrectCount,CorrectRequire,PFilledNew,START,KeyPressTime,FeedbackTime,END,ifLookedFix,ifLookProg,progLookDur,progStartLoc,progEndLoc,progPosition,ITI1,progLookStart,progLookEnd,ITI2,PID,SONA,Age,Gender,TIME,EXPERIMENTER,Unnamed: 35,phasic_pupil_base,phasic_pupil_terp_mean,phasic_pupil_terp_max,tonic_pupil_base,tonic_pupil_terp_mean,tonic_pupil_terp_max
0,PraticeBall,None,Ball,None,1,0.0,0.75,,,2.0,down,SLOW,0.0,5.0,0.0,280.49614043533796,,281.2910440391861,230525_133008,,,,,,,,,,,81,146989,24,F,230525_110150,MS,,0.04601678579272929,-0.010281247458008692,0.18059615507708485,-0.7745086660309325,-0.8034847659168619,-0.7745086660309325
1,PraticeBall,None,Fixation,None,2,,,,,,,,,,,281.9013123293407,,,230525_133009,0.0,0.0,0.0,,,"[-0.25, 0.42]",281.9013123293407,,,282.91760274674743,81,146989,24,F,230525_110150,MS,,,-0.24544872929898712,-0.16135858634222147,,-0.9276150942157237,-0.8865132870108547
2,PraticeBall,None,Ball,None,3,0.0,0.6,,,3.0,down,SLOW,0.0,5.0,0.0,283.27447042474523,,283.9179776702076,230525_133010,,,,,,,,,,,81,146989,24,F,230525_110150,MS,,-0.3745178545812775,-0.42275217886654504,-0.26455739368980413,-0.9910216465312897,-1.029842466580548,-1.0041481913843238
3,PraticeBall,None,Fixation,None,4,,,,,,,,,,,284.52828637138015,,,230525_133012,0.0,0.0,0.0,,,"[-0.25, 0.42]",284.52828637138015,,,285.54489077534527,81,146989,24,F,230525_110150,MS,,,-0.12711225502446358,0.1054999305541665,,-1.1619793969988799,-1.1160066996287707
4,PraticeBall,None,Ball,None,5,0.0,0.75,0.6833588411100209,3.0,3.0,up,CORRECT,1.0,5.0,0.2,285.90265230461955,286.58601114572963,286.61254669725895,230525_133013,,,,,,,,,,,81,146989,24,F,230525_110150,MS,,0.13606285366048607,-0.08342336354356729,0.11075756273492653,-1.2337275264142227,-1.280934087777773,-1.2473751325272786
5,PraticeBall,None,Fixation,None,6,,,,,,,,,,,287.22335027204826,,,230525_133014,0.0,0.0,0.0,,,"[-0.2, 0.42]",287.22335027204826,,,288.2396929669194,81,146989,24,F,230525_110150,MS,,,-0.2921544636327564,-0.10437307416371881,,-1.4308277586922802,-1.3798222110306977
6,PraticeBall,None,Ball,None,7,0.2,0.6,,,1.0,down,SLOW,1.0,5.0,0.2,288.59453721158206,,289.23968879738817,230525_133016,,,,,,,,,,,81,146989,24,F,230525_110150,MS,,-0.3642724976416722,-0.6150104304586732,-0.4803325871883475,-1.5102630829648453,-1.5568861179172357,-1.5253416447786188
7,PraticeBall,None,Fixation,None,8,,,,,,,,,,,289.85030282568187,,,230525_133017,0.0,0.0,0.0,,,"[-0.2, 0.42]",289.85030282568187,,,290.86697361897683,81,146989,24,F,230525_110150,MS,,,-0.0086553055698963,0.24542858025815398,,-1.7179515436618984,-1.6621688139433353
8,PraticeBall,None,Ball,None,9,0.2,0.75,0.6791631602682173,2.0,2.0,down,CORRECT,2.0,5.0,0.4,291.22637211158866,291.90553527185693,291.93472479516635,230525_133018,,,,,,,,,,,81,146989,24,F,230525_110150,MS,,-0.08102110209960176,-0.30200678780453327,-0.07740014845239582,-1.8058202881752778,-1.8625349868835368,-1.8234282676375937
9,PraticeBall,None,Fixation,None,10,,,,,,,,,,,292.54542509745806,,,230525_133020,0.0,0.0,0.0,,,"[-0.15, 0.42]",292.54542509745806,,,293.56177709344774,81,146989,24,F,230525_110150,MS,,,-0.5811901795781463,-0.42021082703130874,,-2.0398934562142412,-1.979432932202683
10,PraticeBall,None,Ball,None,11,0.4,0.75,0.6854784907773137,3.0,2.0,up,WRONG,2.0,5.0,0.4,293.91590869473293,294.60138718551025,294.62965623801574,230525_133021,,,,,,,,,,,81,146989,24,F,230525_110150,MS,,-0.529229550838483,-0.5143668524791417,-0.355479671923162,-2.1336526312789803,-2.19348683332306,-2.151375616487839
