,Phase,Block,TrialType,ifProgress,Trial,PFilled,TimeOut,RT,Choice,CorrectAnswer,CorrectLoc,Feedback,CorrectCount,CorrectRequire,PFilledNew,START,KeyPressTime,FeedbackTime,END,ifLookedFix,ifLookProg,progLookDur,progStartLoc,progEndLoc,progPosition,ITI1,progLookStart,progLookEnd,ITI2,PID,SONA,Age,Gender,TIME,EXPERIMENTER,Unnamed: 35,phasic_pupil_base,phasic_pupil_terp_mean,phasic_pupil_terp_max,tonic_pupil_base,tonic_pupil_terp_mean,tonic_pupil_terp_max
0,PraticeBall,None,Ball,None,1,0.0,0.75,,,2.0,up,SLOW,0.0,5.0,0.0,542.9483529016143,,543.7452395277796,230720_105421,,,,,,,,,,,105,999105,21,F,230720_104110,MS,,0.2575350134859797,0.11921680501694573,0.2575350134859797,0.6094357193816702,0.6101429855181637,0.6107757975190325
1,PraticeBall,None,Fixation,None,2,,,,,,,,,,,544.3559504138539,,,230720_105422,0.0,0.0,0.0,,,"[-0.25, 0.42]",544.3559504138539,,,545.372514086077,105,999105,21,F,230720_104110,MS,,,0.11530902706646294,0.2018085594691037,,0.6118594312942366,0.6119970112184238
2,PraticeBall,None,Ball,None,3,0.0,0.6,,,1.0,up,SLOW,0.0,5.0,0.0,545.7274648104212,,546.3721670652159,230720_105424,,,,,,,,,,,105,999105,21,F,230720_104110,MS,,0.2205969189735903,0.16067552755001863,0.24344942129745725,0.611944698670807,0.6116952371301032,0.6118924632445909
3,PraticeBall,None,Fixation,None,4,,,,,,,,,,,546.9828850071643,,,230720_105425,0.0,0.0,0.0,,,"[-0.25, 0.42]",546.9828850071643,,,547.9993319367059,105,999105,21,F,230720_104110,MS,,,0.020833661016890357,0.15416949588255485,,0.6093501060239706,0.6104621813229194
4,PraticeBall,None,Ball,None,5,0.0,0.75,0.5824777547386475,2.0,2.0,up,CORRECT,1.0,5.0,0.2,548.3554138464389,548.9378916011774,548.9658543641564,230720_105426,,,,,,,,,,,105,999105,21,F,230720_104110,MS,,0.18762822300486745,0.18268916581431413,0.23415118746078753,0.6071892688521496,0.6055681861212918,0.6066985561879925
5,PraticeBall,None,Fixation,None,6,,,,,,,,,,,549.5760706973379,,,230720_105428,0.0,0.0,0.0,,,"[-0.2, 0.42]",549.5760706973379,,,550.5926051838906,105,999105,21,F,230720_104110,MS,,,0.05384504570850975,0.1738697332345741,,0.5983364567548034,0.6012236159289743
6,PraticeBall,None,Ball,None,7,0.2,0.75,0.4773685939144343,2.0,2.0,down,CORRECT,2.0,5.0,0.4,550.9483137736097,551.4256823675241,551.4570672309492,230720_105429,,,,,,,,,,,105,999105,21,F,230720_104110,MS,,0.1956785426736346,0.2067908571093271,0.22791585001137418,0.5933373517579056,0.5904825393449936,0.5922940148724938
7,PraticeBall,None,Fixation,None,8,,,,,,,,,,,552.0677306502475,,,230720_105430,0.0,0.0,0.0,,,"[-0.15, 0.42]",552.0677306502475,,,553.0844043300021,105,999105,21,F,230720_104110,MS,,,0.214315636067329,0.32428390128900975,,0.5778607267607945,0.5828612351959164
8,PraticeBall,None,Ball,None,9,0.4,0.75,0.42351717525161797,3.0,1.0,up,WRONG,2.0,5.0,0.4,553.4423894023639,553.8659065776155,553.8977574497112,230720_105431,,,,,,,,,,,105,999105,21,F,230720_104110,MS,,0.3223172454536258,0.29070307214641516,0.3103459107231089,0.5693751469339453,0.5650244598508992,0.5675514249096257
9,PraticeBall,None,Fixation,None,10,,,,,,,,,,,554.5085238206667,,,230720_105432,0.0,0.0,0.0,,,"[-0.15, 0.42]",554.5085238206667,,,555.524663819524,105,999105,21,F,230720_104110,MS,,,0.27209314819955993,0.338641146549705,,0.5460231794539063,0.5535509758324485
