,Phase,Block,TrialType,ifProgress,Trial,PFilled,TimeOut,RT,Choice,CorrectAnswer,CorrectLoc,Feedback,CorrectCount,CorrectRequire,PFilledNew,START,KeyPressTime,FeedbackTime,END,ifLookedFix,ifLookProg,progLookDur,progStartLoc,progEndLoc,progPosition,ITI1,progLookStart,progLookEnd,ITI2,PID,SONA,Age,Gender,TIME,EXPERIMENTER,Unnamed: 35,phasic_pupil_base,phasic_pupil_terp_mean,phasic_pupil_terp_max,tonic_pupil_base,tonic_pupil_terp_mean,tonic_pupil_terp_max
0,PraticeBall,None,Ball,None,1,0.0,0.75,,,2.0,down,SLOW,0.0,5.0,0.0,250.39126443862915,,251.1728516775184,230515_092423,,,,,,,,,,,68,149989,19,F,230515_091935,SD,,0.8235540987585183,0.6523198034742583,0.8457919924434503,0.848194045695468,0.8204547074690135,0.848194045695468
1,PraticeBall,None,Fixation,None,2,,,,,,,,,,,252.19137752521786,,,230515_092424,0.0,0.0,0.0,,,"[-0.25, 0.42]",252.19137752521786,,,253.20758936554196,68,149989,19,F,230515_091935,SD,,,0.5790903694911842,0.7357895984738865,,0.7056242284217066,0.7436278875107916
2,PraticeBall,None,Ball,None,3,0.0,0.75,0.7268182355910541,3.0,3.0,up,CORRECT,1.0,5.0,0.2,253.5622960207984,254.28911425638944,254.30837808456272,230515_092426,,,,,,,,,,,68,149989,19,F,230515_091935,SD,,0.7393576810862875,0.541716170777712,0.7869002834814837,0.6143292281930051,0.5742902314473194,0.6023674691998802
3,PraticeBall,None,Fixation,None,4,,,,,,,,,,,254.91916690580547,,,230515_092427,0.0,0.0,0.0,,,"[-0.2, 0.42]",254.91916690580547,,,255.93538227444515,68,149989,19,F,230515_091935,SD,,,0.40345846410639274,0.5536954503650032,,0.4538421686014129,0.4940737777926468
4,PraticeBall,None,Ball,None,5,0.2,0.75,0.6301463004201651,2.0,2.0,down,CORRECT,2.0,5.0,0.4,256.29093723837286,256.92108353879297,256.9525226042606,230515_092428,,,,,,,,,,,68,149989,19,F,230515_091935,SD,,0.6156728684352141,0.5118772319593318,0.6625836347318977,0.3918440789463054,0.3543156388364422,0.3801978228752613
5,PraticeBall,None,Fixation,None,6,,,,,,,,,,,257.56316004507244,,,230515_092430,0.0,0.0,0.0,,,"[-0.15, 0.42]",257.56316004507244,,,258.5796631011181,68,149989,19,F,230515_091935,SD,,,0.4550644543474791,0.48863002329153293,,0.23301416564289862,0.27450797333174465
6,PraticeBall,None,Ball,None,7,0.4,0.75,,,3.0,up,SLOW,2.0,5.0,0.4,258.93623699760064,,259.7321774950251,230515_092431,,,,,,,,,,,68,149989,19,F,230515_091935,SD,,0.5448652828505901,0.44006255348532547,0.6278150258367364,0.16925488470210898,0.1256847138671228,0.15731200830048184
7,PraticeBall,None,Fixation,None,8,,,,,,,,,,,260.34284091414884,,,230515_092433,0.0,0.0,0.0,,,"[-0.15, 0.42]",260.34284091414884,,,261.35948123876005,68,149989,19,F,230515_091935,SD,,,0.5059938123965076,0.5714362674534533,,-0.004730925325062083,0.03738749749965651
8,PraticeBall,None,Ball,None,9,0.4,0.75,0.6915160771459341,3.0,3.0,down,CORRECT,3.0,5.0,0.6,261.7164935623296,262.4080096394755,262.42714100983,230515_092434,,,,,,,,,,,68,149989,19,F,230515_091935,SD,,0.6174402930885556,0.46752383861350283,0.6732089860822121,-0.06923526000055949,-0.11051192803356726,-0.08127753225646478
9,PraticeBall,None,Fixation,None,10,,,,,,,,,,,263.02088956628,,,230515_092435,0.0,0.0,0.0,,,"[-0.1, 0.42]",263.02088956628,,,264.0372944814153,68,149989,19,F,230515_091935,SD,,,0.35077995079178015,0.5210155136189477,,-0.23656191693931844,-0.19464960335278406
