,Phase,Block,TrialType,ifProgress,Trial,PFilled,TimeOut,RT,Choice,CorrectAnswer,CorrectLoc,Feedback,CorrectCount,CorrectRequire,PFilledNew,START,KeyPressTime,FeedbackTime,END,ifLookedFix,ifLookProg,progLookDur,progStartLoc,progEndLoc,progPosition,ITI1,progLookStart,progLookEnd,ITI2,PID,SONA,Age,Gender,TIME,EXPERIMENTER,Unnamed: 35,phasic_pupil_base,phasic_pupil_terp_mean,phasic_pupil_terp_max,tonic_pupil_base,tonic_pupil_terp_mean,tonic_pupil_terp_max
0,PraticeBall,None,Ball,None,1,0.0,0.75,,,2.0,up,SLOW,0.0,5.0,0.0,421.2269644844347,,422.02371127624076,230516_120853,,,,,,,,,,,73,147739,20,F,230516_100732,MS,,-0.44635969108359963,-0.5425733454741968,-0.37470558075725147,-1.6965349946818902,-1.7176527896515206,-1.6965349946818902
1,PraticeBall,None,Fixation,None,2,,,,,,,,,,,422.6341694332658,,,230516_120855,0.0,0.0,0.0,,,"[-0.25, 0.42]",422.6341694332658,,,423.65081681404257,73,147739,20,F,230516_100732,MS,,,-0.3112556323740161,-0.009372854117682185,,-1.8087303215223114,-1.7784426411553569
2,PraticeBall,None,Ball,None,3,0.0,0.75,,,1.0,up,SLOW,0.0,5.0,0.0,424.00886250287294,,424.8031599423848,230516_120856,,,,,,,,,,,73,147739,20,F,230516_100732,MS,,-0.10254274069930677,-0.4123781700343791,-0.17190388625574893,-1.8562704369891185,-1.8898103556286963,-1.8653634583331455
3,PraticeBall,None,Fixation,None,4,,,,,,,,,,,425.41401515342295,,,230516_120857,0.0,0.0,0.0,,,"[-0.25, 0.42]",425.41401515342295,,,426.43011538265273,73,147739,20,F,230516_100732,MS,,,-0.565429044824631,-0.49815881742123624,,-1.994744652172941,-1.959955153229389
4,PraticeBall,None,Ball,None,5,0.0,0.75,,,2.0,down,SLOW,0.0,5.0,0.0,426.7866543210112,,427.58284401893616,230516_120859,,,,,,,,,,,73,147739,20,F,230516_100732,MS,,-0.5580186580814919,-0.3368062737694093,-0.16807898302364915,-2.0492106629712286,-2.087491094013886,-2.059602362811258
5,PraticeBall,None,Fixation,None,6,,,,,,,,,,,428.1935866563581,,,230516_120900,0.0,0.0,0.0,,,"[-0.25, 0.42]",428.1935866563581,,,429.20989856217057,73,147739,20,F,230516_100732,MS,,,-0.3844228146136237,-0.05766750315229321,,-2.2066494295680545,-2.167259376791205
6,PraticeBall,None,Ball,None,7,0.0,0.6,,,1.0,up,SLOW,0.0,5.0,0.0,429.56843912461767,,430.2099444251508,230516_120901,,,,,,,,,,,73,147739,20,F,230516_100732,MS,,-0.023993192092128243,-0.16886771729550026,-0.06176581526187141,-2.2673336407261764,-2.3044174125264894,-2.2798796972486763
7,PraticeBall,None,Fixation,None,8,,,,,,,,,,,430.8206437653862,,,230516_120903,0.0,0.0,0.0,,,"[-0.25, 0.42]",430.8206437653862,,,431.83721353113646,73,147739,20,F,230516_100732,MS,,,-0.2642207210432304,-0.177910274036949,,-2.4302809087166213,-2.3865664578478984
8,PraticeBall,None,Ball,None,9,0.0,0.75,0.4164734855294228,2.0,1.0,up,WRONG,0.0,5.0,0.0,432.19181723473605,432.60829072026536,432.63367071095854,230516_120904,,,,,,,,,,,73,147739,20,F,230516_100732,MS,,-0.17813893758864469,-0.14344999032547237,-0.12184190034298598,-2.4983865796448117,-2.529938873589944,-2.5113182471059377
9,PraticeBall,None,Fixation,None,10,,,,,,,,,,,433.2444742857479,,,230516_120905,0.0,0.0,0.0,,,"[-0.25, 0.42]",433.2444742857479,,,434.2609763792716,73,147739,20,F,230516_100732,MS,,,-0.21830471059429485,-0.0761886806535168,,-2.6569527213656676,-2.60942112747354
