,Phase,Block,TrialType,ifProgress,Trial,PFilled,TimeOut,RT,Choice,CorrectAnswer,CorrectLoc,Feedback,CorrectCount,CorrectRequire,PFilledNew,START,KeyPressTime,FeedbackTime,END,ifLookedFix,ifLookProg,progLookDur,progStartLoc,progEndLoc,progPosition,ITI1,progLookStart,progLookEnd,ITI2,PID,SONA,Age,Gender,TIME,EXPERIMENTER,Unnamed: 35,phasic_pupil_base,phasic_pupil_terp_mean,phasic_pupil_terp_max,tonic_pupil_base,tonic_pupil_terp_mean,tonic_pupil_terp_max
0,PraticeBall,None,Ball,None,1,0.0,0.75,0.6567735779099166,2.0,2.0,up,CORRECT,1.0,5.0,0.2,320.4495302708819,321.10630384879187,321.12646569823846,230512_091148,,,,,,,,,,,65,147745,20,F,230511_145537,MS,,0.5824454051932668,0.5123911895774695,0.7308570994781787,4.180254404244351,4.216776289113125,4.253299840657435
1,PraticeBall,None,Fixation,None,2,,,,,,,,,,,321.7543839449063,,,230512_091150,0.0,0.0,0.0,,,"[-0.2, 0.42]",321.7543839449063,,,322.7709809718654,65,147745,20,F,230511_145537,MS,,,0.3883171945479442,0.638963415769281,,4.382041654901281,4.43768049374236
2,PraticeBall,None,Ball,None,3,0.2,0.75,0.5404750788584352,2.0,2.0,down,CORRECT,2.0,5.0,0.4,323.10954538313666,323.6500204619952,323.6689626062289,230512_091151,,,,,,,,,,,65,147745,20,F,230511_145537,MS,,0.7907188023024535,0.7635380520742808,0.9025511147948417,4.468226921914542,4.514445419270613,4.543665705500856
3,PraticeBall,None,Fixation,None,4,,,,,,,,,,,324.29673267947516,,,230512_091152,0.0,0.0,0.0,,,"[-0.15, 0.42]",324.29673267947516,,,325.3132694112137,65,147745,20,F,230511_145537,MS,,,0.47988484236406165,0.7581528948178083,,4.666992987165217,4.720763280282484
4,PraticeBall,None,Ball,None,5,0.4,0.75,0.6997214211151004,1.0,1.0,up,CORRECT,3.0,5.0,0.6,325.6701855179854,326.3699069391005,326.39784244075423,230512_091154,,,,,,,,,,,65,147745,20,F,230511_145537,MS,,0.7340968824463506,0.43926871598174444,0.6890303590579899,4.751164797880553,4.802740095361335,4.8389548357710455
5,PraticeBall,None,Fixation,None,6,,,,,,,,,,,327.00851740594953,,,230512_091155,0.0,0.0,0.0,,,"[-0.1, 0.42]",327.00851740594953,,,328.02510128356516,65,147745,20,F,230511_145537,MS,,,0.24876642571054192,0.4755083091979986,,4.956050826716846,5.005494417631812
6,PraticeBall,None,Ball,None,7,0.6,0.75,0.5225659785792232,2.0,2.0,up,CORRECT,4.0,5.0,0.8,328.3830209290609,328.9055869076401,328.92449922487134,230512_091156,,,,,,,,,,,65,147745,20,F,230511_145537,MS,,0.614065114752502,0.6057084211400292,0.6946748283553914,5.03217109379917,5.0710164702041265,5.094968101560723
7,PraticeBall,None,Fixation,None,8,,,,,,,,,,,329.5339926513843,,,230512_091157,0.0,0.0,0.0,,,"[-0.04999999999999999, 0.42]",329.5339926513843,,,330.55037351232016,65,147745,20,F,230511_145537,MS,,,0.08668469314429178,0.3275290844896355,,5.198319267435104,5.241054668331128
8,PraticeBall,None,Ball,None,9,0.8,0.6,,,3.0,up,SLOW,4.0,5.0,0.8,330.90496342489496,,331.55038153054187,230512_091159,,,,,,,,,,,65,147745,20,F,230511_145537,MS,,0.5400056003041396,0.5039963325940275,0.6583396577701973,5.262074448983926,5.29790605050354,5.320899893408272
9,PraticeBall,None,Fixation,None,10,,,,,,,,,,,332.1611235262826,,,230512_091200,0.0,0.0,0.0,,,"[-0.04999999999999999, 0.42]",332.1611235262826,,,333.17764582578087,65,147745,20,F,230511_145537,MS,,,0.3120811159610509,0.561876170793946,,5.404423784214175,5.436957575558961
