,Phase,Block,TrialType,ifProgress,Trial,PFilled,TimeOut,RT,Choice,CorrectAnswer,CorrectLoc,Feedback,CorrectCount,CorrectRequire,PFilledNew,START,KeyPressTime,FeedbackTime,END,ifLookedFix,ifLookProg,progLookDur,progStartLoc,progEndLoc,progPosition,ITI1,progLookStart,progLookEnd,ITI2,PID,SONA,Age,Gender,TIME,EXPERIMENTER,Unnamed: 35,phasic_pupil_base,phasic_pupil_terp_mean,phasic_pupil_terp_max,tonic_pupil_base,tonic_pupil_terp_mean,tonic_pupil_terp_max
0,PraticeBall,None,Ball,None,1,0.0,0.75,,,1.0,down,SLOW,0.0,5.0,0.0,349.19000483676786,,349.9882019315846,230628_164026,,,,,,,,,,,91,155482,21,F,230628_162816,MS,,-1.1009493898759715,-1.1009493892681292,-1.100949382456115,-3.049211885169894,-3.0787392825565676,-3.049211885169894
1,PraticeBall,None,Fixation,None,2,,,,,,,,,,,350.59900999628013,,,230628_164027,0.0,0.0,0.0,,,"[-0.25, 0.42]",350.59900999628013,,,351.61534659750765,91,155482,21,F,230628_162816,MS,,,0.3404301204457003,0.7385399836848068,,-3.2052268251358087,-3.1633462279344178
2,PraticeBall,None,Ball,None,3,0.0,0.6,,,1.0,down,SLOW,0.0,5.0,0.0,352.04764866130427,,352.68310867855325,230628_164029,,,,,,,,,,,91,155482,21,F,230628_162816,MS,,0.7702801291195706,0.7712306357367326,0.8256380097484245,-3.2707176344456235,-3.3093627814543685,-3.283197353682992
3,PraticeBall,None,Fixation,None,4,,,,,,,,,,,353.2941011586226,,,230628_164030,0.0,0.0,0.0,,,"[-0.25, 0.42]",353.2941011586226,,,354.3101260182448,91,155482,21,F,230628_162816,MS,,,0.49202498923353294,0.6242584813704042,,-3.449482482258865,-3.402689666527574
4,PraticeBall,None,Ball,None,5,0.0,0.75,0.4360589971765876,2.0,2.0,down,CORRECT,1.0,5.0,0.2,354.6670976099558,355.10315660713235,355.1236808719113,230628_164031,,,,,,,,,,,91,155482,21,F,230628_162816,MS,,0.6727800136620102,0.7170253419681153,0.7469743860044554,-3.5233588279146697,-3.559119251629275,-3.538191357010749
5,PraticeBall,None,Fixation,None,6,,,,,,,,,,,355.7345117079094,,,230628_164032,0.0,0.0,0.0,,,"[-0.2, 0.42]",355.7345117079094,,,356.75088422978297,91,155482,21,F,230628_162816,MS,,,0.44508859281382585,0.5540704618059409,,-3.6937589822343875,-3.643081143258759
6,PraticeBall,None,Ball,None,7,0.2,0.75,0.4349865037947893,2.0,2.0,down,CORRECT,2.0,5.0,0.4,357.10795332118863,357.54293982498353,357.5644355555996,230628_164033,,,,,,,,,,,91,155482,21,F,230628_162816,MS,,0.6556046496098545,0.7620172375103607,0.7814740438773976,-3.773384526033826,-3.8116810857554655,-3.78929209232724
7,PraticeBall,None,Fixation,None,8,,,,,,,,,,,358.1582790459506,,,230628_164035,0.0,0.0,0.0,,,"[-0.15, 0.42]",358.1582790459506,,,359.1746624726802,91,155482,21,F,230628_162816,MS,,,0.7317836620330195,0.7726202873532945,,-3.9545079516369963,-3.901039396616618
8,PraticeBall,None,Ball,None,9,0.4,0.75,0.4090481363236904,2.0,2.0,down,CORRECT,3.0,5.0,0.6,359.5340943206102,359.9431424569338,359.9712479412556,230628_164036,,,,,,,,,,,91,155482,21,F,230628_162816,MS,,0.6758908111617521,0.666536371153174,0.6797575839081004,-4.0369131762875705,-4.073427353409093,-4.052385244903792
9,PraticeBall,None,Fixation,None,10,,,,,,,,,,,360.58183791534975,,,230628_164037,0.0,0.0,0.0,,,"[-0.1, 0.42]",360.58183791534975,,,361.59845675155515,91,155482,21,F,230628_162816,MS,,,0.3048325182613601,0.4335101573751395,,-4.2224791157337735,-4.167882404113827
10,PraticeBall,None,Ball,None,11,0.6,0.75,0.5860576503910124,3.0,3.0,up,CORRECT,4.0,5.0,0.8,361.95737191662187,362.54342956701294,362.56438359897584,230628_164038,,,,,,,,,,,91,155482,21,F,230628_162816,MS,,0.5504355452422369,0.6474567995093266,0.6664521833861743,-4.306004129534488,-4.353742839586443,-4.321568898286217
11,PraticeBall,None,Fixation,None,12,,,,,,,,,,,363.1750319441781,,,230628_164040,0.0,0.0,0.0,,,"[-0.04999999999999999, 0.42]",363.1750319441781,,,364.19172390503815,91,155482,21,F,230628_162816,MS,,,0.4554240076577997,0.5364277168454381,,-4.509658225976481,-4.456313286769085
12,PraticeBall,None,Ball,None,13,0.8,0.75,0.4993194285780192,2.0,2.0,up,CORRECT,5.0,5.0,1.0,364.54796393075964,365.0472833593376,365.07294269884005,230628_164041,,,,,,,,,,,91,155482,21,F,230628_162816,MS,,0.584911251609706,0.5884044798012237,0.6273691218966586,-4.589361433853218,-4.630639863365855,-4.605315076016219
13,PraticeBall,None,Fixation,None,14,,,,,,,,,,,365.6836968823336,,,230628_164042,0.0,0.0,0.0,,,"[0.0, 0.42]",365.6836968823336,,,366.70001167431474,91,155482,21,F,230628_162816,MS,,,-0.9226414729342792,-0.35820664083584486,,-4.770913073790741,-4.721827223561297
14,PraticeBar,,Fixation,1,1,,,,,,,,,,,,,,230628_164134,1.0,0.0,0.0,,,"[-0.25, 0.42]",417.19304014695814,,,418.20868783770135,91,155482,21,F,230628_162816,MS,,,0.6661608428068891,0.8480836286706667,,1.1799290825681659,1.2159991673445882
