"","n","s","b0_b","prog_b","trial_b","trial2_b","prog_trial_b","prog_trial2_b","b0_p","prog_p","trial_p","trial2_p","prog_trial_p","prog_trial2_p","conv"
"1",20,1,-3.48540977883659,0.926547637271288,-0.174941533713983,0.192280706460403,-0.835807569038921,2.92954199586134,1.05521653993163e-183,6.86290279458851e-11,0.794358132452423,0.770985511139851,0.533508451730068,0.0265921254927551,0
"2",20,2,-3.5139327764771,0.770951027275829,1.00605552915986,-1.15055425942523,-0.40616995043242,2.69263496959737,1.03064263798914e-134,4.91556556318303e-08,0.151149712837191,0.0985050332885458,0.771991926289976,0.0532057717885333,0
"3",20,3,-3.56238378343594,0.863113204834785,-0.283018242853461,0.295188922432253,-0.469238346856052,2.59429453442726,1.90293321644227e-166,2.74377205785563e-09,0.677340614286056,0.658616919163934,0.730140645165105,0.0521975788067359,0
"4",20,4,-3.42074307734872,0.860809472705344,-0.0877347988359271,0.0431632887934712,-2.4846354243033,4.39053712874805,9.57292675195794e-124,1.69540140428656e-10,0.892756192823325,0.946491709783566,0.0562622021763951,0.000641783719101084,0
"5",20,5,-3.42722743035902,1.06110451399912,0.241951806558523,-0.209897420895693,0.0909320165306409,2.31547718885246,1.46500937488308e-156,3.34429762481208e-14,0.717033363448438,0.750685716212478,0.945702184982778,0.0796807029183119,0
"6",20,6,-3.43696445448136,1.1307565210402,0.268599860289118,-0.299774230156428,0.972459911600425,1.44244486984372,1.0701615894651e-280,6.14138732008242e-15,0.695195717333827,0.659356283945023,0.478152713423619,0.288908484436336,0
"7",20,7,-3.66243706956724,1.11571609253444,-0.260751566474581,0.166668727299736,0.579974506596471,1.54195878980195,6.84067188669675e-108,8.80661298031935e-14,0.706756063053831,0.808058773544021,0.6756556549184,0.261116903387603,0
"8",20,8,-3.48368488752034,1.24004298040331,0.832756896925508,-1.23624261537066,-1.70013313270147,4.4747796758813,2.87559388815018e-131,2.58689741788943e-17,0.257359164477714,0.105723431717202,0.247600566668576,0.00341407149569097,0
"9",20,9,-3.34235446585017,0.842608884927805,0.0950010533630309,0.0200878525130503,-0.663804741693856,2.29551071062898,7.30770969240299e-214,2.6589619496684e-10,0.881265458511966,0.973969393514689,0.601786781987406,0.0622671360139282,0
"10",20,10,-3.38317406699676,0.869905675072253,0.260184354006318,-0.152241911707102,-0.978629904408234,2.80231224667759,2.17534553081554e-177,1.37312203913237e-10,0.690520080321992,0.810830405227931,0.453990995257442,0.0276024219434083,0
"11",20,11,-3.29248975188471,0.869726694489553,0.452981380676519,-0.476840428843629,-0.918578086098416,3.26974510794389,4.47367167956185e-151,1.77895896220682e-11,0.471790883748552,0.444736000079502,0.46564225910735,0.00878893889045266,0
"12",20,12,-3.40879433801837,0.797500293633099,0.672646269647037,-0.892669391590294,-2.10105848153356,4.383547849669,2.20151740111287e-182,7.21113400575518e-09,0.326399665746578,0.195398408426458,0.125344428981006,0.00147759630637902,0
